,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
25,605339.SH,20210728,33.1,33.25,31.9,32.1,33.26,-1.16,-3.4877,36859.17,119347.68
26,605339.SH,20210727,34.39,34.8,33.07,33.26,34.45,-1.19,-3.4543,34294.58,116530.115
27,605339.SH,20210726,36.0,36.0,33.94,34.45,35.97,-1.52,-4.2257,41299.07,143568.486
28,605339.SH,20210723,37.99,37.99,35.8,35.97,37.94,-1.97,-5.1924,56800.37,207584.81
29,605339.SH,20210722,37.79,38.36,37.2,37.94,37.82,0.12,0.3173,37625.18,142019.456
30,605339.SH,20210721,38.01,38.48,37.51,37.82,38.28,-0.46,-1.2017,34087.3,129405.413
31,605339.SH,20210720,38.0,38.56,37.72,38.28,38.05,0.23,0.6045,26611.14,101520.137
32,605339.SH,20210719,38.52,38.8,37.88,38.05,38.59,-0.54,-1.3993,28748.36,109896.88
33,605339.SH,20210716,39.41,39.67,38.52,38.59,39.34,-0.75,-1.9065,33012.72,128826.016
34,605339.SH,20210715,40.2,40.55,39.08,39.34,40.34,-1.0,-2.4789,40847.14,161471.9
35,605339.SH,20210714,40.3,41.2,39.99,40.34,40.64,-0.3,-0.7382,34867.49,141624.113
36,605339.SH,20210713,41.97,42.42,40.34,40.64,41.7,-1.06,-2.542,54900.13,224959.999
37,605339.SH,20210712,41.5,42.29,40.68,41.7,41.85,-0.15,-0.3584,43242.24,179905.648
38,605339.SH,20210709,41.99,43.18,41.53,41.85,42.29,-0.44,-1.0404,56258.72,239092.259
39,605339.SH,20210708,41.41,42.83,41.41,42.29,41.86,0.43,1.0272,46655.49,196324.163
40,605339.SH,20210707,41.41,43.1,41.33,41.86,41.83,0.03,0.0717,60750.66,257465.852
41,605339.SH,20210706,41.0,42.8,40.24,41.83,41.1,0.73,1.7762,59670.27,247571.878
42,605339.SH,20210705,40.8,41.8,40.8,41.1,40.98,0.12,0.2928,34308.69,141216.7
43,605339.SH,20210702,43.29,43.58,40.95,40.98,43.81,-2.83,-6.4597,70738.76,295903.897
44,605339.SH,20210701,43.28,44.73,42.93,43.81,43.18,0.63,1.459,64108.77,281845.513
45,605339.SH,20210630,44.81,44.88,42.7,43.18,44.99,-1.81,-4.0231,72397.12,314707.981
46,605339.SH,20210629,44.75,45.44,44.1,44.99,44.68,0.31,0.6938,43863.72,196783.748
47,605339.SH,20210628,44.72,45.69,44.34,44.68,44.72,-0.04,-0.0894,47148.95,211835.811
48,605339.SH,20210625,45.29,45.92,44.36,44.72,45.68,-0.96,-2.1016,60140.04,269614.626
49,605339.SH,20210624,47.59,48.74,45.51,45.68,48.03,-2.35,-4.8928,77915.94,366192.108
50,605339.SH,20210623,49.66,50.27,47.81,48.03,50.05,-2.02,-4.036,76114.04,369794.598
51,605339.SH,20210622,48.38,51.17,48.11,50.05,48.6,1.45,2.9835,98451.44,491081.126
52,605339.SH,20210621,47.26,49.86,46.2,48.6,48.49,0.11,0.2269,82342.07,395336.679
53,605339.SH,20210618,50.53,51.78,48.49,48.49,50.5,-2.01,-3.9802,89634.02,445964.121
54,605339.SH,20210617,48.0,50.88,47.47,50.5,49.36,1.14,2.3096,98272.2,482011.62
55,605339.SH,20210616,48.0,50.5,47.6,49.36,47.65,1.71,3.5887,104817.82,515143.094
56,605339.SH,20210615,49.6,49.85,47.1,47.65,49.97,-2.32,-4.6428,99992.69,480341.232
57,605339.SH,20210611,53.34,53.44,49.7,49.97,52.55,-2.58,-4.9096,127525.79,649146.515
58,605339.SH,20210610,52.85,54.55,51.88,52.55,53.55,-1.0,-1.8674,124524.67,658195.081
59,605339.SH,20210609,57.0,57.37,53.49,53.55,58.0,-4.45,-7.6724,174485.75,956376.029
60,605339.SH,20210608,57.03,58.88,56.49,58.0,57.23,0.77,1.3454,163340.59,943078.77
61,605339.SH,20210607,57.06,59.47,55.61,57.23,59.95,-2.72,-4.5371,210042.44,1202300.142
62,605339.SH,20210604,58.94,63.22,57.52,59.95,62.8,-2.85,-4.5382,321480.84,1923259.851
63,605339.SH,20210603,76.76,76.76,62.8,62.8,69.78,-6.98,-10.0029,187587.88,1337662.723
64,605339.SH,20210602,69.78,69.78,69.78,69.78,63.44,6.34,9.9937,5936.38,41424.06
65,605339.SH,20210601,63.44,63.44,63.44,63.44,57.67,5.77,10.0052,5375.66,34103.187
66,605339.SH,20210531,57.67,57.67,57.67,57.67,52.43,5.24,9.9943,14656.0,84521.152
67,605339.SH,20210528,52.43,52.43,52.43,52.43,47.66,4.77,10.0084,8157.56,42770.087
68,605339.SH,20210527,47.66,47.66,47.66,47.66,43.33,4.33,9.9931,5647.24,26914.746
69,605339.SH,20210526,43.33,43.33,43.33,43.33,39.39,3.94,10.0025,5046.08,21864.665
70,605339.SH,20210525,39.39,39.39,39.39,39.39,35.81,3.58,9.9972,7228.64,28473.613
71,605339.SH,20210524,35.81,35.81,35.81,35.81,32.55,3.26,10.0154,9390.78,33628.383
72,605339.SH,20210521,32.55,32.55,32.55,32.55,29.59,2.96,10.0034,6692.77,21784.966
73,605339.SH,20210520,29.59,29.59,29.59,29.59,26.9,2.69,10.0,1550.51,4587.959
74,605339.SH,20210519,26.9,26.9,26.9,26.9,24.45,2.45,10.0204,1373.52,3694.769
75,605339.SH,20210518,20.38,24.45,20.38,24.45,16.98,7.47,43.9929,4472.57,10923.631
