,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
49,688777.SH,20210624,90.61,91.6,88.33,88.6,91.4,-2.8,-3.0635,9322.44,83327.142
50,688777.SH,20210623,92.98,93.23,90.86,91.4,91.41,-0.01,-0.0109,9727.35,89310.27
51,688777.SH,20210622,91.8,92.81,89.6,91.41,92.0,-0.59,-0.6413,8742.89,79365.483
52,688777.SH,20210621,89.65,92.78,87.19,92.0,89.69,2.31,2.5755,10850.58,98830.663
53,688777.SH,20210618,90.0,91.5,88.9,89.69,89.33,0.36,0.403,7095.93,63964.897
54,688777.SH,20210617,88.35,90.47,85.0,89.59,87.82,1.77,2.0155,13178.01,116083.585
55,688777.SH,20210616,91.78,91.78,87.68,87.82,91.68,-3.86,-4.2103,9970.67,88998.801
56,688777.SH,20210615,90.2,93.38,87.57,91.68,90.2,1.48,1.6408,14282.53,129450.645
57,688777.SH,20210611,94.3,94.59,89.26,90.2,93.8,-3.6,-3.838,17015.95,154769.844
58,688777.SH,20210610,90.93,98.88,87.48,93.8,90.69,3.11,3.4293,30710.77,281565.09
59,688777.SH,20210609,92.91,92.91,90.36,90.69,92.6,-1.91,-2.0626,7232.34,65907.524
60,688777.SH,20210608,94.45,96.33,92.13,92.6,94.45,-1.85,-1.9587,8055.94,75559.704
61,688777.SH,20210607,93.8,96.62,92.53,94.45,93.82,0.63,0.6715,9655.02,91122.539
62,688777.SH,20210604,90.0,94.5,89.11,93.82,90.01,3.81,4.2329,15393.66,142852.58
63,688777.SH,20210603,92.74,93.2,89.95,90.01,92.72,-2.71,-2.9228,10173.32,92343.833
64,688777.SH,20210602,94.5,96.0,92.23,92.72,94.5,-1.78,-1.8836,9472.36,88601.568
65,688777.SH,20210601,93.28,98.77,92.88,94.5,93.92,0.58,0.6175,14770.16,140847.115
66,688777.SH,20210531,89.01,96.77,89.01,93.92,89.51,4.41,4.9268,20341.38,190156.864
67,688777.SH,20210528,89.74,94.5,89.17,89.51,90.0,-0.49,-0.5444,15601.94,142742.588
68,688777.SH,20210527,87.3,90.47,85.0,90.0,86.49,3.51,4.0583,17202.47,152369.587
69,688777.SH,20210526,86.85,89.5,85.0,86.49,86.2,0.29,0.3364,13016.25,113982.461
70,688777.SH,20210525,84.0,87.63,83.8,86.2,83.85,2.35,2.8026,13595.69,116343.303
71,688777.SH,20210524,87.13,88.0,83.13,83.85,86.46,-2.61,-3.0187,26382.5,223662.61
72,688777.SH,20210521,89.99,91.49,86.4,86.46,90.0,-3.54,-3.9333,11887.21,104794.981
73,688777.SH,20210520,80.5,90.5,80.0,90.0,80.17,9.83,12.2614,26867.28,234570.359
74,688777.SH,20210519,78.47,81.51,78.08,80.17,78.52,1.65,2.1014,7321.77,58350.82
75,688777.SH,20210518,79.99,79.99,77.01,78.52,78.89,-0.37,-0.469,4222.49,32915.901
76,688777.SH,20210517,77.5,80.33,77.5,78.89,78.1,0.79,1.0115,5650.87,44839.521
77,688777.SH,20210514,76.5,78.6,75.28,78.1,76.76,1.34,1.7457,7157.43,55626.918
78,688777.SH,20210513,78.25,78.57,76.55,76.76,77.47,-0.71,-0.9165,4068.16,31423.327
79,688777.SH,20210512,78.0,78.78,76.0,77.47,77.99,-0.52,-0.6668,5686.79,43966.193
80,688777.SH,20210511,78.2,79.68,77.3,77.99,79.31,-1.32,-1.6644,6736.36,52680.331
81,688777.SH,20210510,82.11,84.28,79.18,79.31,83.0,-3.69,-4.4458,8136.51,65546.764
82,688777.SH,20210507,82.83,84.88,82.29,83.0,82.7,0.3,0.3628,8080.67,67200.087
83,688777.SH,20210506,87.1,88.46,82.0,82.7,86.8,-4.1,-4.7235,13780.06,115873.077
84,688777.SH,20210430,87.71,87.71,85.57,86.8,87.22,-0.42,-0.4815,10391.83,90072.708
85,688777.SH,20210429,82.45,88.6,82.0,87.22,82.0,5.22,6.3659,21714.95,187915.803
86,688777.SH,20210428,85.68,86.79,79.12,82.0,86.4,-4.4,-5.0926,16218.24,133666.84
87,688777.SH,20210427,85.47,86.97,84.36,86.4,85.4,1.0,1.171,6509.17,56036.964
88,688777.SH,20210426,83.48,86.89,82.88,85.4,83.51,1.89,2.2632,9511.0,81390.033
89,688777.SH,20210423,85.6,86.79,83.3,83.51,85.41,-1.9,-2.2246,5863.47,49584.031
90,688777.SH,20210422,85.57,86.21,84.6,85.41,85.57,-0.16,-0.187,3832.94,32690.827
91,688777.SH,20210421,87.38,87.57,85.2,85.57,87.38,-1.81,-2.0714,7657.84,65961.913
92,688777.SH,20210420,86.78,90.87,86.0,87.38,86.55,0.83,0.959,15279.72,136345.038
93,688777.SH,20210419,84.37,87.5,83.13,86.55,84.0,2.55,3.0357,10332.48,88896.402
94,688777.SH,20210416,84.0,84.94,82.74,84.0,83.54,0.46,0.5506,8250.6,69086.407
95,688777.SH,20210415,84.11,84.8,82.5,83.54,83.6,-0.06,-0.0718,7219.97,60160.753
96,688777.SH,20210414,81.9,84.0,81.88,83.6,81.98,1.62,1.9761,7421.01,61651.632
97,688777.SH,20210413,82.4,84.5,81.6,81.98,82.5,-0.52,-0.6303,8856.72,73575.359
98,688777.SH,20210412,84.67,85.3,81.0,82.5,85.25,-2.75,-3.2258,14755.7,122237.782
99,688777.SH,20210409,83.26,86.2,83.26,85.25,83.57,1.68,2.0103,12417.87,105062.257
100,688777.SH,20210408,82.47,85.1,82.47,83.57,83.5,0.07,0.0838,8067.98,67960.188
101,688777.SH,20210407,83.54,83.89,81.2,83.5,83.54,-0.04,-0.0479,13942.37,114951.126
102,688777.SH,20210406,83.45,84.79,82.89,83.54,83.52,0.02,0.0239,13383.4,112026.958
103,688777.SH,20210402,79.94,83.83,79.08,83.52,80.08,3.44,4.2957,19608.09,162110.048
104,688777.SH,20210401,76.6,80.6,76.6,80.08,76.82,3.26,4.2437,21900.2,173925.472
105,688777.SH,20210331,77.13,77.49,75.16,76.82,76.65,0.17,0.2218,12159.25,92924.497
106,688777.SH,20210330,74.88,77.36,73.19,76.65,74.38,2.27,3.0519,13895.15,105638.723
107,688777.SH,20210329,74.48,75.67,73.58,74.38,74.48,-0.1,-0.1343,6642.8,49464.845
108,688777.SH,20210326,71.88,74.48,71.51,74.48,71.8,2.68,3.7326,9273.52,68070.721
109,688777.SH,20210325,73.51,74.64,71.75,71.8,73.77,-1.97,-2.6705,11034.7,80550.156
110,688777.SH,20210324,74.99,77.36,73.51,73.77,75.14,-1.37,-1.8233,9289.87,70062.056
111,688777.SH,20210323,74.88,76.51,73.35,75.14,74.18,0.96,1.2941,10782.81,80925.115
112,688777.SH,20210322,73.28,74.8,73.28,74.18,73.13,1.05,1.4358,6635.85,49111.79
113,688777.SH,20210319,72.05,73.88,72.01,73.13,72.8,0.33,0.4533,7188.75,52494.553
114,688777.SH,20210318,73.01,74.81,72.61,72.8,72.69,0.11,0.1513,15343.76,113061.252
115,688777.SH,20210317,70.5,73.0,70.01,72.69,71.18,1.51,2.1214,12065.09,87008.382
116,688777.SH,20210316,72.16,73.8,70.7,71.18,72.16,-0.98,-1.3581,13751.27,98382.323
117,688777.SH,20210315,75.8,75.8,71.0,72.16,76.26,-4.1,-5.3763,17443.87,126819.724
118,688777.SH,20210312,77.57,78.41,75.0,76.26,77.69,-1.43,-1.8406,10213.51,78235.968
119,688777.SH,20210311,76.59,78.3,75.73,77.69,76.6,1.09,1.423,8546.55,66106.55
120,688777.SH,20210310,77.9,78.55,75.0,76.6,75.97,0.63,0.8293,13248.25,102128.271
121,688777.SH,20210309,80.32,80.39,74.18,75.97,80.2,-4.23,-5.2743,23955.87,183559.648
122,688777.SH,20210308,85.7,85.79,79.93,80.2,84.72,-4.52,-5.3352,23084.12,188622.461
123,688777.SH,20210305,85.87,88.0,84.67,84.72,87.18,-2.46,-2.8217,17137.94,147147.261
124,688777.SH,20210304,91.51,91.97,86.5,87.18,92.3,-5.12,-5.5471,17524.51,155793.631
125,688777.SH,20210303,92.01,93.82,91.01,92.3,93.29,-0.99,-1.0612,14990.51,137693.194
126,688777.SH,20210302,89.54,94.87,88.03,93.29,88.0,5.29,6.0114,37993.49,351780.935
127,688777.SH,20210301,85.0,89.7,85.0,88.0,83.81,4.19,4.9994,21525.38,188502.334
128,688777.SH,20210226,83.1,86.5,82.45,83.81,85.1,-1.29,-1.5159,13962.9,117457.799
129,688777.SH,20210225,83.18,85.55,78.82,85.1,83.08,2.02,2.4314,24488.13,200673.12
130,688777.SH,20210224,81.9,84.95,81.0,83.08,80.95,2.13,2.6313,12991.08,107996.282
131,688777.SH,20210223,84.0,84.2,80.86,80.95,84.34,-3.39,-4.0194,11260.84,92351.416
132,688777.SH,20210222,85.5,86.6,84.23,84.34,86.18,-1.84,-2.1351,10798.6,92338.885
133,688777.SH,20210219,85.71,86.75,84.0,86.18,85.71,0.47,0.5484,10851.32,92683.317
134,688777.SH,20210218,84.0,86.78,83.3,85.71,83.24,2.47,2.9673,13207.88,112681.481
135,688777.SH,20210210,84.0,84.09,82.31,83.24,83.5,-0.26,-0.3114,13548.95,112802.468
136,688777.SH,20210209,80.86,84.6,80.86,83.5,80.88,2.62,3.2394,24080.42,199975.164
137,688777.SH,20210208,79.2,83.37,78.98,80.88,80.59,0.29,0.3598,18338.58,149026.782
138,688777.SH,20210205,80.0,81.0,78.11,80.59,80.31,0.28,0.3486,11266.04,89836.796
139,688777.SH,20210204,83.0,83.89,78.3,80.31,83.35,-3.04,-3.6473,21245.3,170849.084
140,688777.SH,20210203,86.8,86.8,83.27,83.35,87.36,-4.01,-4.5902,15149.89,127738.047
141,688777.SH,20210202,86.0,89.08,84.51,87.36,85.11,2.25,2.6436,19124.32,166780.092
142,688777.SH,20210201,84.0,86.0,83.5,85.11,83.38,1.73,2.0748,12083.62,103083.789
143,688777.SH,20210129,84.83,85.32,82.01,83.38,83.85,-0.47,-0.5605,15538.28,129867.81
144,688777.SH,20210128,86.88,88.43,83.0,83.85,88.08,-4.23,-4.8025,24198.8,205604.269
145,688777.SH,20210127,96.0,96.0,85.1,88.08,95.2,-7.12,-7.479,58782.62,522895.049
146,688777.SH,20210126,98.5,98.87,95.15,95.2,99.17,-3.97,-4.0032,25776.08,249496.944
147,688777.SH,20210125,101.8,104.56,98.53,99.17,102.2,-3.03,-2.9648,32015.97,321357.287
148,688777.SH,20210122,99.5,103.3,99.0,102.2,100.17,2.03,2.0266,26068.67,264291.17
149,688777.SH,20210121,98.69,101.5,97.32,100.17,99.4,0.77,0.7746,25622.75,255132.19
150,688777.SH,20210120,102.69,103.41,98.03,99.4,102.08,-2.68,-2.6254,30220.66,302399.554
151,688777.SH,20210119,99.41,106.2,98.58,102.08,98.85,3.23,3.2676,38307.65,394847.54
152,688777.SH,20210118,98.78,100.29,96.0,98.85,98.91,-0.06,-0.0607,24963.62,244280.619
153,688777.SH,20210115,102.0,102.65,96.82,98.91,101.34,-2.43,-2.3979,28029.94,278597.284
154,688777.SH,20210114,101.79,104.98,98.68,101.34,100.18,1.16,1.1579,32770.98,334942.754
155,688777.SH,20210113,97.5,102.3,97.1,100.18,98.66,1.52,1.5406,26910.89,270505.441
156,688777.SH,20210112,96.35,98.8,96.35,98.66,97.36,1.3,1.3353,18647.49,182034.758
157,688777.SH,20210111,98.03,99.5,95.81,97.36,97.38,-0.02,-0.0205,17663.31,172910.781
158,688777.SH,20210108,97.02,99.77,96.69,97.38,98.22,-0.84,-0.8552,18759.87,183692.439
159,688777.SH,20210107,100.7,100.7,95.67,98.22,100.7,-2.48,-2.4628,35474.39,346254.506
160,688777.SH,20210106,104.0,104.89,99.56,100.7,105.35,-4.65,-4.4139,31435.11,320165.597
161,688777.SH,20210105,104.89,110.0,103.34,105.35,105.02,0.33,0.3142,31825.13,337297.047
162,688777.SH,20210104,99.19,105.65,99.05,105.02,100.2,4.82,4.8104,37837.98,389600.42
163,688777.SH,20201231,99.58,102.53,98.65,100.2,99.98,0.22,0.22,21646.77,217684.62
164,688777.SH,20201230,98.0,103.88,98.0,99.98,98.41,1.57,1.5954,25460.89,258132.547
165,688777.SH,20201229,101.91,102.55,98.35,98.41,102.35,-3.94,-3.8495,23158.76,232717.772
166,688777.SH,20201228,97.0,103.88,94.58,102.35,98.3,4.05,4.12,33282.81,335065.168
167,688777.SH,20201225,99.02,100.97,97.35,98.3,100.12,-1.82,-1.8178,20922.46,206750.307
168,688777.SH,20201224,104.28,105.25,99.96,100.12,104.24,-4.12,-3.9524,22841.15,232845.871
169,688777.SH,20201223,100.0,106.3,100.0,104.24,101.37,2.87,2.8312,27136.1,283348.945
170,688777.SH,20201222,102.01,107.18,100.19,101.37,103.0,-1.63,-1.5825,34922.48,364067.036
171,688777.SH,20201221,96.98,104.07,94.0,103.0,96.0,7.0,7.2917,51433.48,514832.022
172,688777.SH,20201218,99.7,100.96,95.0,96.0,98.92,-2.92,-2.9519,31872.01,309792.009
173,688777.SH,20201217,98.0,102.01,97.5,98.92,98.75,0.17,0.1722,25958.32,258728.793
174,688777.SH,20201216,102.6,103.85,98.2,98.75,104.0,-5.25,-5.0481,26236.33,263753.705
175,688777.SH,20201215,100.5,105.19,99.02,104.0,100.77,3.23,3.2053,32333.65,330770.935
176,688777.SH,20201214,97.11,102.5,95.35,100.77,98.72,2.05,2.0766,34954.37,348553.525
177,688777.SH,20201211,101.88,104.79,95.26,98.72,103.9,-5.18,-4.9856,72839.54,723847.507
178,688777.SH,20201210,114.0,114.16,103.8,103.9,115.38,-11.48,-9.9497,77860.67,830516.315
179,688777.SH,20201209,115.5,117.57,112.3,115.38,115.55,-0.17,-0.1471,38557.75,442414.974
180,688777.SH,20201208,108.01,120.0,108.0,115.55,108.99,6.56,6.0189,77253.26,894721.497
181,688777.SH,20201207,108.25,112.6,102.0,108.99,106.39,2.6,2.4438,57388.29,619519.459
182,688777.SH,20201204,106.0,109.44,104.36,106.39,107.07,-0.68,-0.6351,32639.97,348094.815
183,688777.SH,20201203,105.0,110.0,103.0,107.07,107.0,0.07,0.0654,63797.55,682296.155
184,688777.SH,20201202,116.2,118.4,106.66,107.0,116.2,-9.2,-7.9174,105915.12,1181580.461
185,688777.SH,20201201,123.11,124.98,114.5,116.2,124.0,-7.8,-6.2903,91241.8,1079369.667
186,688777.SH,20201130,122.0,125.49,114.41,124.0,123.0,1.0,0.813,109302.59,1309340.143
187,688777.SH,20201127,122.92,130.6,119.23,123.0,124.75,-1.75,-1.4028,100418.69,1254835.639
188,688777.SH,20201126,122.55,127.38,116.55,124.75,120.7,4.05,3.3554,128280.35,1567115.373
189,688777.SH,20201125,108.01,127.55,107.07,120.7,108.63,12.07,11.1111,187965.07,2224549.03
190,688777.SH,20201124,110.0,115.0,100.1,108.63,35.73,72.9,204.0302,306933.48,3284507.117
