,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20,688113.SH,20210804,74.37,82.27,74.37,80.6,76.35,4.25,5.5665,12707.38,100703.781
21,688113.SH,20210803,74.35,80.12,74.35,76.35,73.5,2.85,3.8776,15842.76,122656.519
22,688113.SH,20210802,68.6,76.3,66.7,73.5,68.3,5.2,7.6135,14896.13,108072.704
23,688113.SH,20210730,68.12,69.55,66.64,68.3,68.75,-0.45,-0.6545,4685.76,31990.262
24,688113.SH,20210729,65.87,69.0,65.51,68.75,64.96,3.79,5.8344,7379.38,49722.734
25,688113.SH,20210728,63.76,67.09,63.2,64.96,67.76,-2.8,-4.1322,8938.78,57991.532
26,688113.SH,20210727,70.17,71.47,67.6,67.76,71.0,-3.24,-4.5634,12046.11,83242.913
27,688113.SH,20210726,69.87,71.99,66.2,71.0,67.19,3.81,5.6705,13052.52,90657.04
28,688113.SH,20210723,68.01,69.24,66.5,67.19,68.66,-1.47,-2.141,5242.97,35476.762
29,688113.SH,20210722,71.0,71.45,67.73,68.66,71.41,-2.75,-3.851,8989.31,61857.337
30,688113.SH,20210721,70.0,73.37,69.09,71.41,69.89,1.52,2.1748,8772.48,62654.894
31,688113.SH,20210720,68.94,70.5,67.3,69.89,69.07,0.82,1.1872,7381.39,50933.31
32,688113.SH,20210719,67.03,71.29,67.03,69.07,67.75,1.32,1.9483,9334.05,65033.006
33,688113.SH,20210716,67.68,70.7,67.0,67.75,67.68,0.07,0.1034,7658.6,52564.797
34,688113.SH,20210715,67.39,68.3,66.22,67.68,68.0,-0.32,-0.4706,5162.41,34508.021
35,688113.SH,20210714,70.82,70.82,67.43,68.0,70.88,-2.88,-4.0632,7633.69,52464.11
36,688113.SH,20210713,69.0,71.3,67.68,70.88,69.96,0.92,1.315,10196.35,70159.263
37,688113.SH,20210712,64.46,70.84,63.87,69.96,63.8,6.16,9.6552,14155.92,96752.276
38,688113.SH,20210709,61.53,64.48,61.12,63.8,61.97,1.83,2.953,11533.92,72897.811
39,688113.SH,20210708,63.64,64.58,61.01,61.97,64.2,-2.23,-3.4735,7935.0,49902.629
40,688113.SH,20210707,61.0,64.33,60.99,64.2,61.97,2.23,3.5985,8579.35,53600.196
41,688113.SH,20210706,63.0,65.48,60.4,61.97,63.88,-1.91,-2.99,7823.38,49293.617
42,688113.SH,20210705,64.3,64.3,61.53,63.88,64.0,-0.12,-0.1875,9091.06,57113.496
43,688113.SH,20210702,62.88,65.99,61.33,64.0,63.12,0.88,1.3942,8370.58,53317.478
44,688113.SH,20210701,66.11,66.5,62.05,63.12,65.8,-2.68,-4.0729,13256.1,84675.588
45,688113.SH,20210630,65.14,67.01,62.82,65.8,64.9,0.9,1.3867,11859.92,77420.58
46,688113.SH,20210629,61.58,67.88,61.57,64.9,61.57,3.33,5.4085,20958.74,135447.362
47,688113.SH,20210628,58.53,63.99,58.15,61.57,59.07,2.5,4.2323,15218.06,94079.549
48,688113.SH,20210625,57.4,59.4,56.29,59.07,57.4,1.67,2.9094,7388.39,42611.061
49,688113.SH,20210624,55.55,58.76,55.3,57.4,56.4,1.0,1.773,13442.27,77655.827
50,688113.SH,20210623,55.78,57.6,54.12,56.4,55.9,0.5,0.8945,10394.73,58122.666
51,688113.SH,20210622,57.3,58.88,55.3,55.9,55.0,0.9,1.6364,16100.22,91522.072
52,688113.SH,20210621,51.69,55.36,51.69,55.0,52.5,2.5,4.7619,10169.84,54519.746
53,688113.SH,20210618,52.86,54.03,51.5,52.5,53.01,-0.51,-0.9621,9945.58,52254.131
54,688113.SH,20210617,53.81,54.64,50.51,53.01,53.79,-0.78,-1.4501,12515.62,65193.088
55,688113.SH,20210616,54.51,55.43,53.7,53.79,55.5,-1.71,-3.0811,6037.12,32822.633
56,688113.SH,20210615,58.4,58.4,52.62,55.5,58.4,-2.9,-4.9658,12649.86,69595.328
57,688113.SH,20210611,57.35,60.16,57.35,58.4,57.35,1.05,1.8309,7525.46,44002.235
58,688113.SH,20210610,58.79,59.9,57.1,57.35,59.6,-2.25,-3.7752,10230.42,59305.93
59,688113.SH,20210609,61.0,61.0,58.3,59.6,60.22,-0.62,-1.0296,10098.32,59720.596
60,688113.SH,20210608,61.97,62.88,59.75,60.22,62.17,-1.95,-3.1366,6877.68,42029.9
61,688113.SH,20210607,61.23,62.17,58.18,62.17,61.08,1.09,1.7845,14838.25,88922.401
62,688113.SH,20210604,62.34,64.3,61.08,61.08,62.52,-1.44,-2.3033,8653.21,54212.786
63,688113.SH,20210603,64.4,64.45,61.3,62.52,64.85,-2.33,-3.5929,9956.49,62239.053
64,688113.SH,20210602,67.08,69.79,64.7,64.85,66.99,-2.14,-3.1945,11351.53,76029.811
65,688113.SH,20210601,68.4,68.41,65.9,66.99,68.06,-1.07,-1.5721,10626.98,70925.116
66,688113.SH,20210531,63.72,68.24,63.54,68.06,63.49,4.57,7.198,12862.65,85212.767
67,688113.SH,20210528,61.3,65.31,60.18,63.49,62.1,1.39,2.2383,10948.44,68660.276
68,688113.SH,20210527,59.92,62.38,59.51,62.1,59.92,2.18,3.6382,11779.89,71807.985
69,688113.SH,20210526,63.34,63.34,59.6,59.92,62.69,-2.77,-4.4186,13382.49,81318.108
70,688113.SH,20210525,62.8,64.5,60.8,62.69,63.96,-1.27,-1.9856,11576.24,72363.872
71,688113.SH,20210524,70.0,70.87,59.88,63.96,70.5,-6.54,-9.2766,32291.31,203941.632
72,688113.SH,20210521,72.86,75.99,69.21,70.5,71.9,-1.4,-1.9471,17756.6,129305.591
73,688113.SH,20210520,70.44,74.14,68.88,71.9,70.4,1.5,2.1307,18077.15,130012.148
74,688113.SH,20210519,69.99,72.39,66.88,70.4,70.0,0.4,0.5714,21153.12,147596.912
75,688113.SH,20210518,68.1,73.58,68.06,70.0,69.49,0.51,0.7339,15596.76,110670.593
76,688113.SH,20210517,70.88,74.74,68.88,69.49,69.01,0.48,0.6956,26730.8,190803.561
77,688113.SH,20210514,64.4,71.47,63.52,69.01,64.73,4.28,6.6121,28669.04,196422.177
78,688113.SH,20210513,68.24,69.16,63.11,64.73,69.5,-4.77,-6.8633,30808.33,202176.034
79,688113.SH,20210512,70.4,72.45,68.21,69.5,72.9,-3.4,-4.6639,33210.37,233204.1
80,688113.SH,20210511,65.0,73.5,62.97,72.9,66.01,6.89,10.4378,48051.05,327692.751
81,688113.SH,20210510,58.01,71.18,58.0,66.01,58.58,7.43,12.6835,53451.15,348005.752
82,688113.SH,20210507,68.0,68.0,55.0,58.58,67.36,-8.78,-13.0344,66925.24,407352.872
83,688113.SH,20210506,52.0,67.68,50.08,67.36,19.14,48.22,251.9331,107373.22,622764.927
