,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
27,300993.SZ,20210726,23.95,23.95,22.5,22.77,23.75,-0.98,-4.1263,21915.95,50365.581
28,300993.SZ,20210723,24.28,24.4,23.75,23.75,24.23,-0.48,-1.981,14620.97,35196.382
29,300993.SZ,20210722,24.18,24.44,24.05,24.23,24.26,-0.03,-0.1237,14831.1,35878.602
30,300993.SZ,20210721,23.61,24.54,23.61,24.26,23.87,0.39,1.6339,20913.83,50719.129
31,300993.SZ,20210720,23.6,23.9,23.43,23.87,23.71,0.16,0.6748,14616.37,34675.138
32,300993.SZ,20210719,24.39,24.44,23.71,23.71,24.46,-0.75,-3.0662,25597.35,61177.86
33,300993.SZ,20210716,24.89,24.89,24.45,24.46,24.86,-0.4,-1.609,24571.93,60498.992
34,300993.SZ,20210715,25.86,25.86,24.66,24.86,25.7,-0.84,-3.2685,31323.87,78351.902
35,300993.SZ,20210714,25.6,26.1,25.5,25.7,25.67,0.03,0.1169,23367.74,60285.65
36,300993.SZ,20210713,26.0,26.0,25.46,25.67,26.17,-0.5,-1.9106,30103.38,77226.399
37,300993.SZ,20210712,25.9,26.5,25.66,26.17,25.88,0.29,1.1206,30722.59,80036.275
38,300993.SZ,20210709,25.7,26.38,25.55,25.88,25.89,-0.01,-0.0386,32053.15,83355.074
39,300993.SZ,20210708,27.0,27.37,25.62,25.89,27.06,-1.17,-4.3237,63438.9,167355.899
40,300993.SZ,20210707,25.9,28.8,25.8,27.06,26.48,0.58,2.1903,95623.11,262126.326
41,300993.SZ,20210706,25.89,26.86,25.23,26.48,25.79,0.69,2.6755,64390.96,168093.01
42,300993.SZ,20210705,25.97,26.84,25.55,25.79,25.0,0.79,3.16,59249.49,154685.362
43,300993.SZ,20210702,24.65,25.56,24.44,25.0,24.55,0.45,1.833,35153.84,87856.274
44,300993.SZ,20210701,25.0,25.08,24.5,24.55,24.95,-0.4,-1.6032,23543.87,57986.023
45,300993.SZ,20210630,24.66,25.05,24.51,24.95,24.55,0.4,1.6293,30211.48,74781.579
46,300993.SZ,20210629,25.16,25.23,24.51,24.55,25.22,-0.67,-2.6566,36224.31,89549.039
47,300993.SZ,20210628,25.4,25.89,25.05,25.22,25.58,-0.36,-1.4073,45789.23,115709.262
48,300993.SZ,20210625,26.6,26.79,25.41,25.58,27.66,-2.08,-7.5199,82659.92,214676.069
49,300993.SZ,20210624,24.46,28.98,24.45,27.66,24.46,3.2,13.0826,130512.18,344870.642
50,300993.SZ,20210623,25.09,25.15,24.42,24.46,25.09,-0.63,-2.511,33921.09,83519.751
51,300993.SZ,20210622,25.0,25.28,24.89,25.09,25.1,-0.01,-0.0398,25847.18,64811.208
52,300993.SZ,20210621,24.66,25.17,24.39,25.1,24.78,0.32,1.2914,27019.77,67012.531
53,300993.SZ,20210618,24.33,24.97,24.32,24.78,24.41,0.37,1.5158,27135.12,67194.353
54,300993.SZ,20210617,24.5,24.7,24.2,24.41,24.69,-0.28,-1.1341,22763.48,55731.179
55,300993.SZ,20210616,24.45,24.97,24.4,24.69,24.45,0.24,0.9816,26247.12,64761.243
56,300993.SZ,20210615,25.19,25.23,24.34,24.45,25.08,-0.63,-2.512,33334.89,82217.916
57,300993.SZ,20210611,24.79,25.35,24.76,25.08,24.81,0.27,1.0883,30505.74,76488.42
58,300993.SZ,20210610,25.24,25.24,24.77,24.81,25.37,-0.56,-2.2073,34464.68,86068.119
59,300993.SZ,20210609,24.95,25.61,24.78,25.37,25.08,0.29,1.1563,38280.92,96400.476
60,300993.SZ,20210608,24.97,25.25,24.84,25.08,24.82,0.26,1.0475,31323.76,78432.382
61,300993.SZ,20210607,25.6,25.62,24.7,24.82,25.83,-1.01,-3.9102,50282.67,125648.824
62,300993.SZ,20210604,26.62,26.68,25.81,25.83,27.02,-1.19,-4.4041,60956.95,159407.724
63,300993.SZ,20210603,25.7,27.49,25.55,27.02,25.92,1.1,4.2438,96655.41,255746.206
64,300993.SZ,20210602,25.81,26.4,25.4,25.92,25.98,-0.06,-0.2309,61471.75,159239.949
65,300993.SZ,20210601,25.55,26.23,25.55,25.98,25.73,0.25,0.9716,58967.91,152753.512
66,300993.SZ,20210531,26.08,26.36,25.5,25.73,26.47,-0.74,-2.7956,73665.31,189327.85
67,300993.SZ,20210528,27.14,27.86,26.4,26.47,27.27,-0.8,-2.9336,91730.13,248808.795
68,300993.SZ,20210527,27.75,28.3,27.19,27.27,28.55,-1.28,-4.4834,108613.15,298740.312
69,300993.SZ,20210526,27.5,29.9,27.17,28.55,28.76,-0.21,-0.7302,133864.92,380140.893
70,300993.SZ,20210525,30.5,31.26,28.08,28.76,34.74,-5.98,-17.2136,178276.61,523815.609
71,300993.SZ,20210524,33.2,36.68,33.0,34.74,12.1,22.64,187.1074,216153.7,755520.132
