,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
20,001203.SZ,20210804,17.63,18.07,17.5,17.9,17.5,0.4,2.2857,134646.58,239599.455
21,001203.SZ,20210803,17.56,17.96,17.44,17.5,17.43,0.07,0.4016,144539.78,255368.423
22,001203.SZ,20210802,17.11,17.52,16.69,17.43,17.31,0.12,0.6932,147443.78,252443.059
23,001203.SZ,20210730,17.4,17.63,17.18,17.31,17.73,-0.42,-2.3689,151267.59,262195.531
24,001203.SZ,20210729,17.6,17.84,17.38,17.73,17.35,0.38,2.1902,130135.38,229312.148
25,001203.SZ,20210728,18.96,18.96,17.17,17.35,19.06,-1.71,-8.9717,204418.32,362093.484
26,001203.SZ,20210727,19.45,19.93,19.02,19.06,19.43,-0.37,-1.9043,157833.34,307109.723
27,001203.SZ,20210726,20.4,20.4,19.28,19.43,20.4,-0.97,-4.7549,210686.91,414860.955
28,001203.SZ,20210723,20.24,21.27,20.15,20.4,20.51,-0.11,-0.5363,210771.05,437261.461
29,001203.SZ,20210722,20.38,20.73,19.91,20.51,20.5,0.01,0.0488,193827.44,393913.779
30,001203.SZ,20210721,20.55,20.68,20.33,20.5,20.52,-0.02,-0.0975,176586.05,362115.457
31,001203.SZ,20210720,20.77,20.77,20.22,20.52,21.47,-0.95,-4.4248,232485.57,475435.172
32,001203.SZ,20210719,22.84,22.84,21.37,21.47,22.84,-1.37,-5.9982,346159.21,756998.691
33,001203.SZ,20210716,22.12,23.32,21.8,22.84,21.88,0.96,4.3876,436078.27,988019.176
34,001203.SZ,20210715,21.5,22.77,21.25,21.88,20.89,0.99,4.7391,444271.22,982489.844
35,001203.SZ,20210714,21.47,21.88,20.63,20.89,21.64,-0.75,-3.4658,307057.83,653786.511
36,001203.SZ,20210713,20.7,21.76,20.28,21.64,20.62,1.02,4.9467,359882.71,762786.689
37,001203.SZ,20210712,21.08,21.35,20.48,20.62,20.75,-0.13,-0.6265,233014.05,486009.658
38,001203.SZ,20210709,20.83,21.28,20.02,20.75,21.12,-0.37,-1.7519,236553.68,488771.317
39,001203.SZ,20210708,21.21,21.35,20.73,21.12,21.3,-0.18,-0.8451,234974.34,494813.493
40,001203.SZ,20210707,20.36,21.8,20.36,21.3,20.59,0.71,3.4483,341858.65,731549.976
41,001203.SZ,20210706,20.81,21.26,20.33,20.59,20.99,-0.4,-1.9057,297462.47,615418.39
42,001203.SZ,20210705,19.08,20.99,19.04,20.99,19.08,1.91,10.0105,402666.76,827549.139
43,001203.SZ,20210702,20.08,20.1,19.02,19.08,20.4,-1.32,-6.4706,243979.18,473968.038
44,001203.SZ,20210701,20.17,20.84,19.91,20.4,20.15,0.25,1.2407,212176.0,433217.185
45,001203.SZ,20210630,20.19,20.44,20.02,20.15,20.1,0.05,0.2488,131422.13,265469.93
46,001203.SZ,20210629,20.42,20.91,20.05,20.1,20.55,-0.45,-2.1898,185100.74,376876.63
47,001203.SZ,20210628,20.8,21.05,20.41,20.55,21.22,-0.67,-3.1574,198649.94,411700.679
48,001203.SZ,20210625,21.35,21.77,20.92,21.22,21.47,-0.25,-1.1644,241480.97,514735.447
49,001203.SZ,20210624,20.7,21.51,20.05,21.47,20.74,0.73,3.5198,351378.87,736272.378
50,001203.SZ,20210623,20.55,21.02,20.26,20.74,20.5,0.24,1.1707,257682.93,533031.396
51,001203.SZ,20210622,19.91,20.63,19.9,20.5,20.06,0.44,2.1934,256394.79,520493.949
52,001203.SZ,20210621,19.66,20.49,19.61,20.06,20.1,-0.04,-0.199,196589.04,396294.024
53,001203.SZ,20210618,19.7,20.58,19.28,20.1,19.83,0.27,1.3616,222947.33,443569.958
54,001203.SZ,20210617,19.63,20.08,19.63,19.83,19.68,0.15,0.7622,156553.42,310009.5
55,001203.SZ,20210616,21.0,21.0,19.6,19.68,21.2,-1.52,-7.1698,285374.02,573936.094
56,001203.SZ,20210615,22.01,22.31,21.05,21.2,22.35,-1.15,-5.1454,273907.61,588545.153
57,001203.SZ,20210611,21.95,22.74,21.73,22.35,21.59,0.76,3.5201,395500.29,881531.33
58,001203.SZ,20210610,21.71,21.95,21.27,21.59,22.16,-0.57,-2.5722,264009.21,569169.849
59,001203.SZ,20210609,21.93,22.68,21.65,22.16,21.79,0.37,1.698,357161.34,794437.418
60,001203.SZ,20210608,21.26,22.2,21.03,21.79,21.3,0.49,2.3005,299577.14,646806.073
61,001203.SZ,20210607,21.99,22.28,21.24,21.3,22.06,-0.76,-3.4451,306830.75,665421.145
62,001203.SZ,20210604,23.02,23.18,22.05,22.06,23.75,-1.69,-7.1158,461554.1,1036745.125
63,001203.SZ,20210603,23.63,24.55,23.6,23.75,23.84,-0.09,-0.3775,366874.67,882407.837
64,001203.SZ,20210602,25.01,25.19,23.82,23.84,25.57,-1.73,-6.7657,557798.66,1364424.748
65,001203.SZ,20210601,24.51,26.16,23.75,25.57,24.2,1.37,5.6612,760946.19,1911273.681
66,001203.SZ,20210531,24.9,24.95,22.91,24.2,24.72,-0.52,-2.1036,501862.91,1213754.09
67,001203.SZ,20210528,27.0,27.28,24.66,24.72,26.23,-1.51,-5.7568,761368.33,1968658.739
68,001203.SZ,20210527,25.21,26.8,24.83,26.23,25.5,0.73,2.8627,713741.7,1835088.985
69,001203.SZ,20210526,24.7,26.05,24.25,25.5,25.4,0.1,0.3937,668929.78,1681687.354
70,001203.SZ,20210525,26.98,26.99,25.21,25.4,26.81,-1.41,-5.2592,671859.42,1739004.549
71,001203.SZ,20210524,25.25,26.96,25.08,26.81,26.51,0.3,1.1316,771947.54,2003792.996
72,001203.SZ,20210521,26.0,29.44,25.01,26.51,27.7,-1.19,-4.296,1199789.11,3251918.806
73,001203.SZ,20210520,27.0,27.7,24.08,27.7,25.18,2.52,10.0079,1427418.0,3757951.227
74,001203.SZ,20210519,25.18,25.18,25.18,25.18,22.89,2.29,10.0044,73482.34,185028.532
75,001203.SZ,20210518,22.89,22.89,22.89,22.89,20.81,2.08,9.9952,158076.78,361837.749
76,001203.SZ,20210517,20.81,20.81,20.81,20.81,18.92,1.89,9.9894,13851.82,28825.637
77,001203.SZ,20210514,18.92,18.92,18.92,18.92,17.2,1.72,10.0,22126.94,41864.17
78,001203.SZ,20210513,17.2,17.2,17.2,17.2,15.64,1.56,9.9744,10990.23,18903.195
79,001203.SZ,20210512,15.64,15.64,15.64,15.64,14.22,1.42,9.9859,2317.18,3624.069
80,001203.SZ,20210511,14.22,14.22,14.22,14.22,12.93,1.29,9.9768,4758.02,6765.904
81,001203.SZ,20210510,10.78,12.93,10.78,12.93,8.98,3.95,43.9866,23561.66,30402.156
