,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
42,688070.SH,20210705,33.8,34.44,33.74,34.4,34.13,0.27,0.7911,4772.54,16291.277
43,688070.SH,20210702,35.1,35.1,33.92,34.13,34.77,-0.64,-1.8407,6670.51,22852.327
44,688070.SH,20210701,36.36,36.5,34.77,34.77,36.18,-1.41,-3.8972,8163.9,28950.171
45,688070.SH,20210630,35.76,36.37,35.62,36.18,35.83,0.35,0.9768,7250.08,26075.381
46,688070.SH,20210629,37.99,37.99,35.5,35.83,37.45,-1.62,-4.3258,12401.5,44983.353
47,688070.SH,20210628,37.01,38.47,37.01,37.45,37.37,0.08,0.2141,10393.26,39338.564
48,688070.SH,20210625,36.69,37.5,35.62,37.37,36.52,0.85,2.3275,12564.78,45810.76
49,688070.SH,20210624,38.5,38.6,36.5,36.52,38.28,-1.76,-4.5977,14071.39,52388.054
50,688070.SH,20210623,38.69,38.69,37.66,38.28,38.6,-0.32,-0.829,13011.22,49450.887
51,688070.SH,20210622,40.42,40.42,38.33,38.6,39.89,-1.29,-3.2339,25636.4,99555.956
52,688070.SH,20210621,36.32,39.89,36.32,39.89,36.11,3.78,10.468,32270.85,124257.013
53,688070.SH,20210618,34.6,38.5,34.59,36.11,34.96,1.15,3.2895,26783.33,98674.783
54,688070.SH,20210617,34.03,35.3,33.35,34.96,33.85,1.11,3.2792,12037.81,41257.507
55,688070.SH,20210616,35.7,36.3,33.79,33.85,36.05,-2.2,-6.1026,16629.24,57921.767
56,688070.SH,20210615,32.66,36.49,32.45,36.05,32.92,3.13,9.5079,23678.96,82910.605
57,688070.SH,20210611,33.55,33.58,32.68,32.92,33.55,-0.63,-1.8778,5325.09,17566.391
58,688070.SH,20210610,32.6,33.65,32.5,33.55,32.8,0.75,2.2866,5832.67,19358.911
59,688070.SH,20210609,33.25,33.88,32.7,32.8,33.26,-0.46,-1.383,6357.48,21033.367
60,688070.SH,20210608,34.0,34.3,32.95,33.26,34.04,-0.78,-2.2914,8541.7,28459.749
61,688070.SH,20210607,33.33,34.69,32.88,34.26,33.28,0.98,2.9447,10890.93,37040.608
62,688070.SH,20210604,34.0,34.45,32.9,33.28,34.39,-1.11,-3.2277,11693.94,39386.902
63,688070.SH,20210603,35.6,36.12,34.2,34.39,35.47,-1.08,-3.0448,15479.48,54043.249
64,688070.SH,20210602,35.28,36.2,34.5,35.47,35.36,0.11,0.3111,17509.31,62001.827
65,688070.SH,20210601,33.69,35.5,33.01,35.36,33.93,1.43,4.2146,19665.2,68169.227
66,688070.SH,20210531,32.0,34.3,31.5,33.93,31.75,2.18,6.8661,17874.51,59165.89
67,688070.SH,20210528,31.73,32.19,31.42,31.75,31.52,0.23,0.7297,7216.7,22940.626
68,688070.SH,20210527,31.46,31.75,31.1,31.52,31.5,0.02,0.0635,5321.86,16722.128
69,688070.SH,20210526,30.86,32.5,30.6,31.5,30.88,0.62,2.0078,13275.19,42065.993
70,688070.SH,20210525,29.69,30.88,29.5,30.88,29.59,1.29,4.3596,5709.4,17278.364
71,688070.SH,20210524,29.28,29.8,29.28,29.59,29.3,0.29,0.9898,2842.72,8416.397
72,688070.SH,20210521,30.38,30.5,28.99,29.3,30.36,-1.06,-3.4914,7017.97,20788.935
73,688070.SH,20210520,30.55,30.85,30.24,30.36,30.53,-0.17,-0.5568,4448.91,13543.629
74,688070.SH,20210519,30.6,31.11,30.35,30.53,30.66,-0.13,-0.424,4817.55,14766.681
75,688070.SH,20210518,30.49,31.38,30.2,30.66,30.32,0.34,1.1214,6473.26,19863.384
76,688070.SH,20210517,30.57,31.5,30.23,30.32,30.63,-0.31,-1.0121,4401.43,13450.684
77,688070.SH,20210514,30.18,31.0,29.91,30.63,30.0,0.63,2.1,5652.66,17304.319
78,688070.SH,20210513,29.23,30.52,29.23,30.0,29.88,0.12,0.4016,5219.21,15783.412
79,688070.SH,20210512,29.53,30.06,29.22,29.88,29.92,-0.04,-0.1337,3377.0,10041.749
80,688070.SH,20210511,28.8,30.33,28.6,29.92,28.8,1.12,3.8889,7659.13,22692.379
81,688070.SH,20210510,29.2,29.35,28.49,28.8,29.2,-0.4,-1.3699,5124.06,14736.429
82,688070.SH,20210507,30.24,30.24,29.0,29.2,30.1,-0.9,-2.99,5856.58,17388.47
83,688070.SH,20210506,30.42,30.86,30.03,30.1,30.4,-0.3,-0.9868,4868.22,14779.501
84,688070.SH,20210430,33.99,33.99,30.37,30.4,34.96,-4.56,-13.0435,21039.43,65639.55
85,688070.SH,20210429,32.66,35.08,32.48,34.96,32.77,2.19,6.6829,13644.78,46777.135
86,688070.SH,20210428,32.7,32.99,32.33,32.77,32.91,-0.14,-0.4254,4411.81,14442.591
87,688070.SH,20210427,34.0,34.01,32.8,32.91,33.98,-1.07,-3.1489,6048.57,20049.201
88,688070.SH,20210426,34.49,34.58,33.86,33.98,34.12,-0.14,-0.4103,5122.88,17511.738
89,688070.SH,20210423,34.97,34.98,34.08,34.12,34.98,-0.86,-2.4585,6651.18,22918.518
90,688070.SH,20210422,35.39,35.53,34.7,34.98,35.35,-0.37,-1.0467,7252.8,25376.614
91,688070.SH,20210421,35.3,35.59,34.81,35.35,35.56,-0.21,-0.5906,7260.93,25558.759
92,688070.SH,20210420,35.96,36.47,35.46,35.56,35.96,-0.4,-1.1123,11625.36,41823.195
93,688070.SH,20210419,34.62,35.99,34.62,35.96,34.8,1.16,3.3333,11020.67,39191.802
94,688070.SH,20210416,34.39,34.92,34.11,34.8,34.3,0.5,1.4577,6420.44,22203.04
95,688070.SH,20210415,34.38,34.49,34.05,34.3,34.31,-0.01,-0.0291,4176.38,14303.809
96,688070.SH,20210414,34.18,34.56,34.06,34.31,34.02,0.29,0.8524,4063.26,13952.77
97,688070.SH,20210413,34.35,34.35,33.8,34.02,34.09,-0.07,-0.2053,4339.74,14734.443
98,688070.SH,20210412,35.14,35.14,33.94,34.09,34.81,-0.72,-2.0684,6797.7,23264.34
99,688070.SH,20210409,35.5,35.98,34.72,34.81,35.73,-0.92,-2.5749,10717.18,37649.424
100,688070.SH,20210408,36.0,36.68,35.66,35.73,35.99,-0.26,-0.7224,8496.12,30641.832
101,688070.SH,20210407,35.97,36.36,35.52,35.99,35.9,0.09,0.2507,8681.58,31087.445
102,688070.SH,20210406,36.15,36.26,35.71,35.9,35.9,0.0,0.0,6921.53,24922.655
103,688070.SH,20210402,35.31,36.2,35.31,35.9,35.67,0.23,0.6448,6279.72,22491.362
104,688070.SH,20210401,38.2,38.2,35.66,35.67,38.08,-2.41,-6.3288,18286.23,66565.785
105,688070.SH,20210331,37.97,38.5,37.1,38.08,37.88,0.2,0.528,13537.7,51390.035
106,688070.SH,20210330,37.08,38.06,36.75,37.88,37.19,0.69,1.8553,12928.41,48414.258
107,688070.SH,20210329,37.0,37.6,36.5,37.19,37.07,0.12,0.3237,10423.39,38577.69
108,688070.SH,20210326,35.66,37.44,35.11,37.07,35.05,2.02,5.7632,16586.32,60744.784
109,688070.SH,20210325,35.4,35.8,35.0,35.05,35.55,-0.5,-1.4065,5308.0,18792.57
110,688070.SH,20210324,36.06,36.6,35.38,35.55,36.62,-1.07,-2.9219,9733.57,34912.991
111,688070.SH,20210323,37.98,38.67,36.5,36.62,37.79,-1.17,-3.0961,12755.01,47981.453
112,688070.SH,20210322,37.48,38.18,37.21,37.79,38.0,-0.21,-0.5526,9834.01,37093.52
113,688070.SH,20210319,36.61,38.5,36.54,38.0,36.84,1.16,3.1488,16076.4,60815.303
114,688070.SH,20210318,36.53,37.3,36.25,36.84,36.53,0.31,0.8486,8216.22,30218.325
115,688070.SH,20210317,36.15,36.69,35.8,36.53,36.15,0.38,1.0512,7428.15,27070.518
116,688070.SH,20210316,36.58,36.9,36.0,36.15,36.62,-0.47,-1.2835,8273.1,30094.096
117,688070.SH,20210315,36.13,36.95,36.06,36.62,36.7,-0.08,-0.218,7098.7,25902.731
118,688070.SH,20210312,38.5,38.5,36.6,36.7,38.42,-1.72,-4.4768,17477.85,64985.463
119,688070.SH,20210311,39.0,39.28,38.2,38.42,38.97,-0.55,-1.4113,15145.38,58513.283
120,688070.SH,20210310,39.74,39.74,38.18,38.97,39.35,-0.38,-0.9657,9034.84,35323.455
121,688070.SH,20210309,41.94,41.94,38.8,39.35,41.94,-2.59,-6.1755,19319.51,77088.855
122,688070.SH,20210308,42.47,43.7,41.94,41.94,42.0,-0.06,-0.1429,14903.28,63840.969
123,688070.SH,20210305,42.55,43.0,41.45,42.0,43.01,-1.01,-2.3483,18028.53,75692.235
124,688070.SH,20210304,44.55,45.49,41.99,43.01,44.98,-1.97,-4.3797,29006.72,126475.876
125,688070.SH,20210303,46.5,46.8,44.7,44.98,47.36,-2.38,-5.0253,25271.15,114639.473
126,688070.SH,20210302,48.8,50.3,47.36,47.36,49.2,-1.84,-3.7398,22525.53,109599.685
127,688070.SH,20210301,48.32,50.8,46.81,49.2,48.9,0.3,0.6135,33315.51,162227.224
128,688070.SH,20210226,45.89,49.04,45.09,48.9,45.88,3.02,6.5824,37464.64,179192.089
129,688070.SH,20210225,45.24,47.28,44.07,45.88,45.18,0.7,1.5494,24253.15,111006.33
130,688070.SH,20210224,48.98,49.3,45.08,45.18,47.96,-2.78,-5.7965,40748.49,193202.049
131,688070.SH,20210223,52.35,52.35,47.55,47.96,51.8,-3.84,-7.4131,50992.43,254144.83
132,688070.SH,20210222,49.0,53.5,48.1,51.8,50.42,1.38,2.737,54929.27,279664.135
133,688070.SH,20210219,48.14,51.88,45.0,50.42,50.0,0.42,0.84,69154.82,329201.795
134,688070.SH,20210218,53.1,59.9,49.9,50.0,55.01,-5.01,-9.1074,94994.23,527088.325
135,688070.SH,20210210,60.6,73.88,53.01,55.01,23.16,31.85,137.5216,149030.1,922211.348
