Date,Open,High,Low,Close,AdjustedClose,Volume
2019-06-27,27.89,28.33,27.58,27.74,27.74,121579
2019-06-28,27.69,29.7,27.69,28.99,28.99,960799
2019-07-01,29.48,30.175,28.575,28.93,28.93,138090
2019-07-02,28.9,28.9,26.59,26.93,26.93,144436
2019-07-03,26.95,27.2555,26.42,26.53,26.53,53212
2019-07-05,26.52,26.76,25.76,26.06,26.06,239868
2019-07-08,26.28,27.02,25.26,25.9,25.9,356899
2019-07-09,25.76,26.99,24.87,25.5,25.5,431666
2019-07-10,25.62,26.22,25.0961,25.56,25.56,194211
2019-07-11,25.64,26,25.28,25.5,25.5,81855
2019-07-12,25.48,25.975,25.04,25.5,25.5,64618
2019-07-15,25.52,25.73,25,25.3,25.3,66933
2019-07-16,25.19,25.44,23.74,23.79,23.79,87137
2019-07-17,23.78,24.09,22.71,23.25,23.25,91552
2019-07-18,23.24,25.04,22.85,24.85,24.85,176149
2019-07-19,24.8,26.16,24.71,25.93,25.93,231290
2019-07-22,26.14,26.69,25.64,25.69,25.69,35177
2019-07-23,25.77,27.35,25.225,26.86,26.86,92946
2019-07-24,26.75,27.28,26.25,26.67,26.67,44973
2019-07-25,26.63,27.42,26.27,26.83,26.83,43281
2019-07-26,26.93,27.2942,25.63,25.9,25.9,67067
2019-07-29,25.82,26.29,25,25.56,25.56,37555
2019-07-30,25.87,25.87,23.21,25.14,25.14,84347
2019-07-31,25.2,26.1,23.36,23.73,23.73,96633
2019-08-01,23.5,24,22.6318,23.65,23.65,134083
2019-08-02,23.65,23.65,22.67,23.26,23.26,100622
2019-08-05,22.8,23.16,21.29,21.89,21.89,150727
2019-08-06,22.18,24.07,21.55,21.96,21.96,81852
2019-08-07,21.64,22.84,21.51,22.4,22.4,80754
2019-08-08,21.96,22,20.56,21.03,21.03,217868
2019-08-09,21.18,21.48,20.27,20.48,20.48,111921
2019-08-12,20.66,21.1051,19.9137,20.94,20.94,91546
2019-08-13,20.74,21.48,20.24,20.81,20.81,65765
2019-08-14,20.63,20.77,19.98,20.27,20.27,55073
2019-08-15,20.35,20.72,19.99,20.35,20.35,132619
2019-08-16,20.44,20.8,20,20.5,20.5,83035
2019-08-19,20.65,21.63,20.33,21,21,72046
2019-08-20,20.97,21.74,20.5,21.5,21.5,102474
2019-08-21,21.57,22.31,21.01,21.79,21.79,256345
2019-08-22,21.7952,23.42,21.3,23.2,23.2,57501
2019-08-23,23.23,23.725,22.45,23.28,23.28,76609
2019-08-26,23.15,24.64,22.58,24.13,24.13,59430
2019-08-27,23.81,24.8,23.1,23.89,23.89,82736
2019-08-28,23.79,24.81,23,24.17,24.17,106833
2019-08-29,24.33,24.58,23.6645,23.95,23.95,66870
2019-08-30,23.9,24,23.13,23.95,23.95,42927
2019-09-03,23.91,24.02,23.5131,23.97,23.97,25465
2019-09-04,24.06,24.4099,23.53,23.96,23.96,31492
2019-09-05,24.14,24.14,23.2,23.5,23.5,98363
2019-09-06,23.48,24.04,23.15,23.84,23.84,57634
2019-09-09,23.89,24.12,23.62,23.95,23.95,25570
2019-09-10,24,24.27,22.85,23.35,23.35,159735
2019-09-11,23.35,24.87,23.13,24.72,24.72,26002
2019-09-12,24.75,25.47,24.43,24.75,24.75,40535
2019-09-13,24.95,24.95,23.33,23.98,23.98,52680
2019-09-16,23.93,24.28,23.555,24,24,81070
2019-09-17,23.9,24.055,23.43,23.8,23.8,67012
2019-09-18,24.19,24.37,23.52,24.34,24.34,34753
2019-09-19,24.5,25.3,24.325,25.27,25.27,72261
2019-09-20,25,25.3,24.5,24.73,24.73,70047
2019-09-23,24.5,25.175,24.01,24.66,24.66,49077
2019-09-24,24.67,24.69,23.02,23.8,23.8,50162
2019-09-25,23.73,24.29,22.5,23.2,23.2,65098
2019-09-26,23.15,23.8,22.99,23.35,23.35,56677
2019-09-27,23.72,24.13,23.45,23.69,23.69,37180
2019-09-30,23.84,24.184,23.03,23.75,23.75,29269
2019-10-01,23.76,24,21.6,21.64,21.64,100805
2019-10-02,21.57,21.57,18.51,20.07,20.07,148582
2019-10-03,20.06,20.315,18.8,18.83,18.83,79181
2019-10-04,18.8,19.2504,17.48,18.09,18.09,63993
2019-10-07,18.49,18.52,17.1,17.32,17.32,93353
2019-10-08,17.04,17.51,16.92,17.01,17.01,41813
2019-10-09,17.05,17.7472,16.9716,17.58,17.58,26039
2019-10-10,17.7,20.01,17.7,19.43,19.43,69075
2019-10-11,20.09,20.56,18.17,18.47,18.47,51692
2019-10-14,18.34,18.885,17.12,17.75,17.75,64334
2019-10-15,17.72,18.42,17.72,17.81,17.81,53771
2019-10-16,17.76,18.1999,17.5193,17.9,17.9,37661
2019-10-17,18.05,18.31,17.42,18.21,18.21,78345
2019-10-18,18.14,18.77,17.52,17.74,17.74,58847
2019-10-21,17.84,18,17.52,17.73,17.73,73462
2019-10-22,17.64,18.24,17.39,17.82,17.82,119720
2019-10-23,17.69,18.772,17.69,17.8,17.8,58665
2019-10-24,18.02,18.3417,17.55,18.05,18.05,52152
2019-10-25,18.05,18.22,17.79,17.85,17.85,37787
2019-10-28,18.02,18.75,17.91,18.3,18.3,83590
2019-10-29,17.79,18.29,17.25,17.99,17.99,225999
2019-10-30,18.12,18.15,17.6914,17.81,17.81,121717
2019-10-31,17.76,18.25,17.5238,17.94,17.94,143676
2019-11-01,18,19.9603,17.21,19.51,19.51,192125
2019-11-04,19.67,20.5,19.59,20.07,20.07,141449
2019-11-05,20.13,20.4,18.955,19.35,19.35,96422
2019-11-06,19.94,19.94,17.22,17.25,17.25,227134
2019-11-07,17.38,18.044,16.3001,16.61,16.61,196274
2019-11-08,16.56,17.75,15.745,16.95,16.95,229953
2019-11-11,16.95,17.2401,16.3,16.84,16.84,136915
2019-11-12,16.86,17.49,16.74,17.44,17.44,313047
2019-11-13,17.47,17.91,17.09,17.23,17.23,101757
2019-11-14,17.35,18.4,17.35,17.87,17.87,263590
2019-11-15,18.02,18.8,17.905,18.31,18.31,260200
2019-11-18,18.31,18.31,17.69,18.19,18.19,144278
2019-11-19,18.31,18.31,17.93,17.98,17.98,129418
2019-11-20,18.01,18.55,17.63,17.85,17.85,109169
2019-11-21,17.92,18.14,17.285,17.29,17.29,107668
2019-11-22,17.34,18.3,17.02,18,18,207305
2019-11-25,18.02,19.905,17.8287,18.73,18.73,286070
2019-11-26,18.77,19.27,18.6,18.92,18.92,191426
2019-11-27,18.95,19.3276,18.71,18.97,18.97,40805
2019-11-29,18.91,19.23,18.72,18.75,18.75,28248
2019-12-02,18.82,18.82,17.21,17.49,17.49,140187
2019-12-03,17.29,18.28,17.22,17.71,17.71,104069
2019-12-04,18.06,18.3,17.45,17.7,17.7,90705
2019-12-05,17.88,18.95,17.88,18.66,18.66,237741
2019-12-06,18.79,19.48,18.68,19.03,19.03,288662
2019-12-09,19.25,20.93,19.2045,20,20,278322
2019-12-10,20,20.72,19.27,20.01,20.01,222989
2019-12-11,20.07,20.41,19.14,19.38,19.38,364687
2019-12-12,19.4,19.65,17.41,17.58,17.58,388516
2019-12-13,17.73,19.22,17.73,18.75,18.75,421323
2019-12-16,19.08,19.34,18.36,18.8,18.8,352094
2019-12-17,18.84,19.2,18.3,18.88,18.88,276024
2019-12-18,18.85,19.29,18.75,19.16,19.16,273251
2019-12-19,19.38,19.38,17.96,18.47,18.47,292439
2019-12-20,18.39,18.855,17.6526,18.62,18.62,1308007
2019-12-23,18.67,19.38,18.09,19.14,19.14,297576
2019-12-24,19.21,19.36,18.52,19.06,19.06,102322
2019-12-26,19.06,19.32,18.81,19.12,19.12,171930
2019-12-27,19.21,19.37,18.35,18.59,18.59,133386
2019-12-30,18.49,18.985,18.2,18.79,18.79,203630
2019-12-31,18.72,19.16,18.54,19.01,19.01,142040
2020-01-02,19.12,19.25,18.75,19.07,19.07,98322
2020-01-03,18.84,19.115,18.5,18.84,18.84,112985
2020-01-06,18.58,18.8809,17.76,17.81,17.81,195643
2020-01-07,17.81,18.07,17.28,17.98,17.98,402170
2020-01-08,17.86,17.97,17.51,17.81,17.81,116547
2020-01-09,17.75,18.21,17.59,17.96,17.96,127822
2020-01-10,17.96,18.92,17.95,18.72,18.72,137684
2020-01-13,18.78,19.12,18.45,19.06,19.06,123976
2020-01-14,19.13,19.705,18.95,19.43,19.43,163508
2020-01-15,19.4,19.8,18.79,18.9,18.9,79508
2020-01-16,19.24,19.36,18.81,19.2,19.2,192403
2020-01-17,19.41,19.84,19.26,19.71,19.71,416772
2020-01-21,19.93,20.99,19.58,20.2,20.2,340474
2020-01-22,20.25,20.645,19.08,19.59,19.59,172466
2020-01-23,19.45,20.24,19.16,20,20,164387
2020-01-24,20.12,20.195,19.23,19.95,19.95,116412
2020-01-27,19.58,20.15,19.15,19.75,19.75,122947
2020-01-28,19.88,20.33,19.62,20.03,20.03,111689
2020-01-29,20.12,20.29,18.55,18.8,18.8,88480
2020-01-30,18.64,18.8134,17.65,17.86,17.86,99881
2020-01-31,17.89,18.254,17.1,17.51,17.51,158644
2020-02-03,17.54,18.0299,17.5,17.76,17.76,123025
2020-02-04,18.01,18.1108,17.1,17.3,17.3,101704
2020-02-05,17.43,17.89,17.29,17.82,17.82,56306
2020-02-06,17.84,18.165,17.31,17.44,17.44,82029
2020-02-07,17.45,17.58,16.87,17.49,17.49,120368
2020-02-10,17.4,18.22,17.4,18.06,18.06,102185
2020-02-11,18.23,18.4,17.99,18.34,18.34,75031
2020-02-12,18.45,19,18.2753,18.83,18.83,80460
2020-02-13,18.79,19.23,18.51,19.09,19.09,85289
2020-02-14,19.09,19.54,18.82,19.19,19.19,201608
2020-02-18,19.19,20.3,19.19,19.7,19.7,155503
2020-02-19,19.83,20.38,18.8,20.07,20.07,191098
2020-02-20,20.22,20.23,18.7335,19.08,19.08,135229
2020-02-21,19.11,19.11,18.14,18.51,18.51,114386
2020-02-24,17.87,17.95,17.3,17.43,17.43,115139
2020-02-25,17.43,18.4199,16.75,16.93,16.93,138234
2020-02-26,16.92,17.34,16.12,16.67,16.67,158593
2020-02-27,16.23,17.21,15.83,16.14,16.14,130341
2020-02-28,15.75,16.1545,14.75,15.7,15.7,199756
2020-03-02,15.76,16,14.75,14.96,14.96,187990
2020-03-03,14.636,16,14.28,15.53,15.53,468008
2020-03-04,15.85,16.1919,14.84,16.06,16.06,226780
2020-03-05,15.66,16.5735,14.885,15.36,15.36,167215
2020-03-06,14.94,15.56,14.85,15.51,15.51,78006
2020-03-09,14.4,14.5299,13.54,13.83,13.83,163030
2020-03-10,14.26,14.84,14.14,14.68,14.68,129747
2020-03-11,14.39,14.39,13.1706,13.62,13.62,144735
2020-03-12,12.26,12.9,11.01,11.94,11.94,157744
2020-03-13,12.49,13.16,11.2035,12.83,12.83,127430
2020-03-16,11.22,11.6781,10.23,10.5,10.5,151537
2020-03-17,10.73,13.9959,10.1,12.68,12.68,190164
2020-03-18,12.01,14.775,12.01,14.2,14.2,194773
2020-03-19,14.35,16.24,13.3137,14.42,14.42,186893
2020-03-20,14.45,15.16,13.291,13.74,13.74,117879
2020-03-23,13.57,14.675,13,13.73,13.73,122847
2020-03-24,14.46,15.33,13.51,13.78,13.78,88556
2020-03-25,13.8,14.25,12.63,13.04,13.04,140038
2020-03-26,13.21,14.01,12.27,12.89,12.89,154533
2020-03-27,12.73,12.9653,11.3,11.76,11.76,145819
2020-03-30,11.8,12.58,11.55,11.99,11.99,110983
2020-03-31,12.02,12.64,11.7786,12.08,12.08,103722
2020-04-01,11.64,12.1,11.1482,11.66,11.66,75236
2020-04-02,11.51,12.51,11.51,12.16,12.16,109702
2020-04-03,12.17,13.12,11.66,11.88,11.88,68797
2020-04-06,12.45,12.75,11.75,12.16,12.16,329330
2020-04-07,13.83,13.83,12.52,13.61,13.61,313337
2020-04-08,13.88,15.23,13.27,15.17,15.17,138504
2020-04-09,15.49,16.18,14.75,15.05,15.05,115640
2020-04-13,15.1,15.5096,14.25,14.51,14.51,106973
2020-04-14,15,15.1,14.11,14.14,14.14,107050
2020-04-15,13.93,15.5303,13.93,15.04,15.04,115357
2020-04-16,15.07,15.81,14.52,15.69,15.69,80671
2020-04-17,16.64,17.1652,15.96,16.58,16.58,101738
2020-04-20,16.15,16.8943,15.81,16.21,16.21,90229
2020-04-21,15.88,16.36,15.1601,16.07,16.07,82693
2020-04-22,16.32,18,16.04,17.36,17.36,98880
2020-04-23,17.35,17.62,16.53,17.19,17.19,70484
2020-04-24,17.24,17.78,16.92,17.78,17.78,50876
2020-04-27,17.89,18.6004,17.1,17.4,17.4,133121
2020-04-28,17.66,18.3666,17.04,17.87,17.87,87699
2020-04-29,18.39,19.5798,18.05,18.26,18.26,197524
2020-04-30,18.08,18.52,17.32,18.09,18.09,90437
2020-05-01,17.73,17.86,16.45,16.59,16.59,59552
2020-05-04,16.3,16.86,15.71,16.79,16.79,74646
2020-05-05,17.15,17.59,16.9,16.99,16.99,69277
2020-05-06,17.04,18.21,16.045,16.86,16.86,121765
2020-05-07,16.57,18.23,15.39,15.7,15.7,97854
2020-05-08,15.92,16.72,15.52,16.58,16.58,55046
2020-05-11,16.5,17.2,16.17,16.89,16.89,73791
2020-05-12,16.95,17.13,16.04,16.04,16.04,56516
2020-05-13,15.96,15.96,14.5,15.33,15.33,100650
2020-05-14,15.01,15.5198,14.47,15.33,15.33,57811
2020-05-15,15.41,15.41,14.01,14.44,14.44,96967
2020-05-18,15.03,16.88,15.03,16.53,16.53,118450
2020-05-19,16.54,16.9,15.83,15.87,15.87,64823
2020-05-20,16.11,16.825,15.92,16.47,16.47,65327
2020-05-21,16.49,16.5,15,15.47,15.47,96779
2020-05-22,15.86,16.08,15.15,16,16,39182
2020-05-26,16.14,16.94,15.063,15.95,15.95,355900
2020-05-27,14.1,14.5,13.315,13.98,13.98,1597000
2020-05-28,14.16,14.25,13.8,13.83,13.83,516900
2020-05-29,13.53,13.95,13.15,13.21,13.21,351800
2020-06-01,13.38,13.64,12.75,13.08,13.08,290700
2020-06-02,13.16,14.195,13.16,13.52,13.52,180700
2020-06-03,13.64,14.15,13.41,14.08,14.08,229100
2020-06-04,13.97,14.48,13.74,14.2,14.2,100900
2020-06-05,14.45,15.54,14.3,15,15,301200
2020-06-08,15.16,16.04,14.86,15.86,15.86,339900
2020-06-09,15.7,15.78,14.8,14.81,14.81,89400
2020-06-10,14.76,15.035,14.51,14.64,14.64,129300
2020-06-11,14.14,14.755,13.805,14.28,14.28,224800
2020-06-12,14.83,15.31,14.33,14.99,14.99,254000
2020-06-15,14.64,16.07,14.493,15.62,15.62,210500
2020-06-16,16.17,16.6,15.7,16.32,16.32,163400
2020-06-17,16.4,16.71,16.03,16.5,16.5,148100
2020-06-18,16.31,16.89,16.275,16.83,16.83,90800
2020-06-19,16.94,17.28,16.53,17.01,17.01,200200
2020-06-22,16.95,17.21,16.45,16.88,16.88,107500
2020-06-23,17.05,17.9,16.85,16.94,16.94,167000
2020-06-24,16.75,17.23,16.32,16.8,16.8,194500
2020-06-25,16.73,17.61,16.51,17.32,17.32,154100
2020-06-26,17.21,17.31,16.415,16.78,16.78,889800
2020-06-29,16.7,17.43,16.475,17.25,17.25,138100
2020-06-30,17.18,18.18,17.04,17.92,17.92,670500
2020-07-01,18.07,18.397,16.41,16.61,16.61,246200
2020-07-02,16.91,17.715,16.696,17.42,17.42,137500
2020-07-06,17.56,17.73,17.19,17.43,17.43,85300
2020-07-07,17.32,18.15,17.09,17.16,17.16,161200
2020-07-08,17.15,17.48,17.06,17.26,17.26,71300
2020-07-09,17.26,17.63,17.1,17.51,17.51,116700
2020-07-10,17.48,17.69,16.66,16.84,16.84,96200
2020-07-13,16.97,17.89,16.6,17.35,17.35,107900
2020-07-14,17.31,17.37,16.21,16.63,16.63,121700
2020-07-15,16.9,17.6,16.9,17.25,17.25,136300
2020-07-16,17.19,17.26,16.735,16.96,16.96,138000
2020-07-17,16.91,17.64,16.472,17.44,17.44,244400
2020-07-20,17.44,18.1,17.38,17.64,17.64,182565
2020-07-21,17.85,18.49,17.67,17.99,17.99,246286
2020-07-22,18,18.21,17.57,17.78,17.78,118405
2020-07-23,17.75,17.87,17.305,17.57,17.57,70194
2020-07-24,17.36,17.695,17.02,17.33,17.33,55978
2020-07-27,17.39,17.65,17.12,17.43,17.43,50830
2020-07-28,17.41,18.065,17.39,17.69,17.69,75117
2020-07-29,17.84,18.5673,17.84,18.41,18.41,173839
2020-07-30,18.15,18.5,17.87,18.27,18.27,136133
2020-07-31,18.33,18.68,17.98,18.06,18.06,90300
2020-08-03,18.17,19.05,17.919,18.84,18.84,251100
2020-08-04,18.78,18.98,18.47,18.58,18.58,136700
2020-08-05,18.76,18.94,17.745,18.12,18.12,112100
2020-08-06,18.12,19.57,17.9,18.6,18.6,205300
2020-08-07,18.61,18.925,18,18.05,18.05,90600
2020-08-10,18.09,18.52,17.81,17.98,17.98,144100
2020-08-11,18.02,18.125,17.58,17.58,17.58,118300
2020-08-12,17.74,18,17.4,17.69,17.69,96200
2020-08-13,17.59,18.86,17.561,18.32,18.32,200900
2020-08-14,18.25,18.95,18.05,18.4,18.4,285600
2020-08-17,18.64,18.89,18.07,18.43,18.43,91200
2020-08-18,18.38,18.73,17.81,18.05,18.05,89100
2020-08-19,18.04,18.77,17.9,18.17,18.17,128100
2020-08-20,17.98,18.27,17.7,17.89,17.89,117500
2020-08-21,17.86,17.925,17.32,17.7,17.7,117900
2020-08-24,17.77,18.13,17.44,17.9,17.9,130200
2020-08-25,17.93,18.625,17.85,18.15,18.15,130300
2020-08-26,18.13,18.51,17.82,17.85,17.85,145900
2020-08-27,17.86,18.39,17.72,17.87,17.87,126700
2020-08-28,17.95,18.03,17.5,17.78,17.78,94900
2020-08-31,17.69,18.06,17.52,17.83,17.83,160500
2020-09-01,17.82,18,17.22,17.47,17.47,121700
2020-09-02,17.52,17.93,17.31,17.68,17.68,94300
2020-09-03,17.58,17.585,16.69,17.03,17.03,87700
2020-09-04,17.01,17.14,16.02,16.37,16.37,132000
2020-09-08,16.13,17.1,16.11,16.86,16.86,158100
2020-09-09,17.1,17.38,16.78,16.97,16.97,190100
2020-09-10,17.11,17.425,16.75,16.81,16.81,130700
2020-09-11,16.93,17.185,16.43,16.61,16.61,106100
2020-09-14,16.78,17.31,16.2,16.85,16.85,209200
2020-09-15,16.89,17.47,16.76,17.24,17.24,202400
2020-09-16,17.45,17.59,16.97,17.11,17.11,192100
2020-09-17,16.83,17.15,16.48,16.48,16.48,217800
2020-09-18,16.74,16.92,15.69,15.74,15.74,1307700
2020-09-21,15.51,15.76,13.915,14.11,14.11,220000
2020-09-22,14.17,14.62,13.71,14.31,14.31,180300
2020-09-23,14.25,14.73,14.127,14.29,14.29,174200
2020-09-24,14.28,14.36,13.94,14.23,14.23,99100
2020-09-25,14.11,14.57,14.11,14.35,14.35,82700
2020-09-28,14.57,15.01,14.47,14.53,14.53,106200
2020-09-29,13.08,14.34,12.71,13.8,13.8,1756600
2020-09-30,13.8,14.02,13.46,13.78,13.78,419300
2020-10-01,13.81,14.13,13.75,13.95,13.95,175500
2020-10-02,13.8,14.2,13.497,13.93,13.93,191600
2020-10-05,14.17,14.35,14.025,14.25,14.25,170300
2020-10-06,14.37,14.37,13.85,13.94,13.94,208000
2020-10-07,14.01,14.23,13.91,14.16,14.16,165400
2020-10-08,13.68,14.04,13.405,13.88,13.88,214600
2020-10-09,13.92,14,13.32,13.39,13.39,71600
2020-10-12,13.39,13.58,12.9,13.46,13.46,128200
2020-10-13,13.27,13.43,12.99,13.01,13.01,104400
2020-10-14,13.1,13.2,12.94,13.02,13.02,65100
2020-10-15,12.95,13.44,12.77,13.33,13.33,75500
2020-10-16,13.29,13.64,13.2,13.52,13.52,93200
2020-10-19,13.62,13.7,13.19,13.31,13.31,125000
2020-10-20,13.25,13.48,12.88,12.93,12.93,52500
2020-10-21,12.86,13.08,12.75,12.95,12.95,44300
2020-10-22,12.93,13.2,12.86,13.03,13.03,48300
2020-10-23,13.445,13.47,12.99,13.25,13.25,39400
2020-10-26,13.03,13.12,12.76,12.82,12.82,46100
2020-10-27,12.8,13.08,12.73,13.05,13.05,28700
2020-10-28,12.83,13,12.47,12.65,12.65,102600
2020-10-29,12.6,12.8,12.37,12.39,12.39,79400
2020-10-30,12.41,12.776,11.51,11.98,11.98,134700
2020-11-02,12.17,12.36,11.64,11.91,11.91,91300
2020-11-03,12.13,12.765,11.81,12.59,12.59,93200
2020-11-04,12.57,13.01,12.5,12.57,12.57,30700
2020-11-05,13.26,13.69,12.38,13.19,13.19,93100
2020-11-06,13.2,13.347,12.7,12.81,12.81,67100
2020-11-09,13.6,14.52,13.58,13.93,13.93,119600
2020-11-10,14.06,14.47,13.8,14.33,14.33,58300
2020-11-11,14.48,14.48,13.81,14.02,14.02,55600
2020-11-12,13.86,14.095,13.78,13.94,13.94,53000
2020-11-13,13.99,14.66,13.99,14.33,14.33,79000
2020-11-16,14.57,14.79,13.9,14.24,14.24,63700
2020-11-17,14.09,14.85,13.81,14.55,14.55,49600
2020-11-18,14.62,14.87,14.17,14.19,14.19,48800
2020-11-19,14.22,14.29,14.03,14.23,14.23,23800
2020-11-20,14.03,14.88,13.96,14.78,14.78,82900
2020-11-23,14.84,14.96,13.99,14.16,14.16,89600
2020-11-24,14.41,15.17,14.34,14.51,14.51,123200
2020-11-25,14.47,14.68,13.78,14.6,14.6,63900
2020-11-27,14.47,15.15,14.34,14.79,14.79,30200
2020-11-30,14.93,15.31,14.739,14.87,14.87,80700
2020-12-01,14.99,15.11,14.75,14.87,14.87,45400
2020-12-02,14.71,15.2,14.66,15.14,15.14,51359
2020-12-03,15.16,15.22,14.63,14.78,14.78,27500
2020-12-04,14.92,15.21,14.6,15.21,15.21,76400
2020-12-07,15.23,15.23,14.71,15.07,15.07,50200
2020-12-08,15.42,15.42,14.63,15.21,15.21,44900
2020-12-09,15.31,15.71,15.14,15.39,15.39,69800
2020-12-10,15.3,16,15.11,15.81,15.81,71800
2020-12-11,15.72,16.01,15.03,15.13,15.13,43900
2020-12-14,15.32,15.59,15.2,15.39,15.39,34200
2020-12-15,15.63,18.1,15.39,17.9,17.9,217400
2020-12-16,17.82,18.08,17.2082,17.87,17.87,110643
2020-12-17,17.87,18.6,17.86,18.53,18.53,113000
2020-12-18,18.66,19.14,18.23,18.67,18.67,293970
2020-12-21,18,18.424,17,18.3,18.3,135200
2020-12-22,19.045,19.045,18.4,18.75,18.75,59200
2020-12-23,18.76,19,18.39,18.84,18.84,108900
2020-12-24,18.95,19,18.6,18.77,18.77,29700
2020-12-28,18.95,19.07,18.46,18.99,18.99,93163
2020-12-29,18.94,19.16,18.595,18.83,18.83,59426
2020-12-30,18.92,19.26,18.79,18.97,18.97,56926
2020-12-31,19.07,20,18.965,19.9,19.9,178374
2021-01-04,19.89,20.51,19,19,19,104745
2021-01-05,19.01,19.45,18.52,18.55,18.55,71401
2021-01-06,18.81,19.459,17.97,18.12,18.12,155270
2021-01-07,18.1,18.34,17.195,17.75,17.75,110647
2021-01-08,17.9,19.11,17.5247,18.76,18.76,77315
2021-01-11,18.64,19,17.91,18.1,18.1,86468
2021-01-12,18.26,18.625,18.135,18.5,18.5,53587
2021-01-13,18.5,18.83,17.9,17.98,17.98,58505
2021-01-14,18.04,19.16,17.925,19.1,19.1,147555
2021-01-15,19.2,20.2391,19.0488,19.44,19.44,145711
2021-01-19,19.85,23.86,19.36,22.89,22.89,334660
2021-01-20,23.2,24.77,23.04,23.5,23.5,234275
2021-01-21,24.01,24.41,22.76,24,24,170925
2021-01-22,23.89,24.5,23.2819,23.77,23.77,153043
2021-01-25,23.89,24.16,22.52,23.34,23.34,240713
2021-01-26,24.035,24.035,22.7,23.64,23.64,242218
2021-01-27,23,23.35,22.3,22.9,22.9,157600
2021-01-28,22.8,23.72,22.65,23.38,23.38,98400
2021-01-29,23.38,23.65,21.62,22.78,22.78,189700
2021-02-01,23.4,23.4,21.73,21.85,21.85,88500
2021-02-02,22.01,22.43,21.31,21.5,21.5,177200
2021-02-03,21.56,21.975,21.305,21.77,21.77,68000
2021-02-04,22.42,23.579,21.95,22.79,22.79,131500
2021-02-05,23.615,23.75,22.4,22.69,22.69,136200
2021-02-08,25.01,27.78,24.5,26,26,656100
2021-02-09,34.18,35.7,31.85,32.17,32.17,2546900
2021-02-10,33.47,34.29,29.69,30.02,30.02,1628100
2021-02-11,33.035,34.5,29.391,29.95,29.95,2883600
2021-02-12,30.36,32.5707,27.25,30.66,30.66,3211681
2021-02-16,31.69,31.923,27.75,28.74,28.74,2205300
2021-02-17,28.65,31.5,28.18,31.49,31.49,740200
2021-02-18,29.35,34.69,29.07,33.27,33.27,879700
2021-02-19,33.64,36.47,31.54,35.43,35.43,1384300
2021-02-22,38.17,41.197,36.4,38.69,38.69,1417700
2021-02-23,35.03,37.2,30.259,36.82,36.82,1836200
2021-02-24,36.5,40.8,36.3,38.46,38.46,1077000
2021-02-25,38.04,39.8,34.18,36.88,36.88,1213500
2021-02-26,36.3,37.879,33.33,35.89,35.89,961800
2021-03-01,36.36,38.763,35.76,36.22,36.22,761900
2021-03-02,40,44.12,38.54,39.69,39.69,1897800
2021-03-03,39.59,40.64,36.22,37.46,37.46,1035400
2021-03-04,36.72,37.49,30.01,32.02,32.02,1557500
2021-03-05,32.59,32.734,26.5,31.78,31.78,1220400
2021-03-08,31.14,32.8,30.5,31.64,31.64,599100
