Date,Open,High,Low,Close,AdjustedClose,Volume
2020-02-06,31,31.56,29.56,30,30,25526305
2020-02-07,29.75,31.75,29.71,30.92,30.92,3574979
2020-02-10,31.8,32,31,31.89,31.89,2295084
2020-02-11,31.94,33.23,31.93,32.87,32.87,2863071
2020-02-12,32.96,33.08,31.99,32.25,32.25,7279581
2020-02-13,32.23,32.25,31.4,31.86,31.86,991673
2020-02-14,31.86,31.9072,31.35,31.55,31.55,753613
2020-02-18,31.42,31.42,31.01,31.04,31.04,698888
2020-02-19,31.03,32,31,31.64,31.64,421843
2020-02-20,31.64,31.867,30.05,31.01,31.01,1435970
2020-02-21,30.94,31.44,30.63,30.88,30.88,529317
2020-02-24,30.49,30.73,29.01,29.98,29.98,1260142
2020-02-25,30.04,30.4,28.19,28.44,28.44,776290
2020-02-26,28.55,29.53,28.25,28.81,28.81,1512285
2020-02-27,28.4,29.114,27.78,28.56,28.56,1115875
2020-02-28,27.99,28.59,26.5,27.88,27.88,3455088
2020-03-02,28.23,29.7,26.8,26.95,26.95,1723933
2020-03-03,27.35,27.74,26.69,27.5,27.5,1889263
2020-03-04,27.77,28.72,27.705,28.6,28.6,1655995
2020-03-05,28.62,29.72,28.025,29.01,29.01,2141566
2020-03-06,28,28.6,26.58,28.6,28.6,3848082
2020-03-09,27.37,27.71,25.5,26.81,26.81,2245294
2020-03-10,27.21,27.84,25.99,27.25,27.25,1090719
2020-03-11,26.94,27.04,25.565,25.76,25.76,1504239
2020-03-12,24.5,24.5,19.64,21.65,21.65,4487525
2020-03-13,22.49,23.81,19.84,23,23,2233069
2020-03-16,20.63,21.05,18.25,18.51,18.51,3498634
2020-03-17,18.76,19.8094,16.28,17.87,17.87,3068429
2020-03-18,16.94,17.42,10.61,14,14,4828525
2020-03-19,13.95,15.5593,13.46,14.34,14.34,3212879
2020-03-20,14.4,16.99,14.17,14.52,14.52,5995317
2020-03-23,14.51,15.46,13.08,14.02,14.02,2814953
2020-03-24,14.62,16.91,14.62,15.94,15.94,2970672
2020-03-25,15.94,17.6,15.5,17.5,17.5,5473070
2020-03-26,17.5,21.05,17.17,19.91,19.91,2738268
2020-03-27,19.61,20.6,15.9,17,17,2452171
2020-03-30,18,18.4,16.32,17.96,17.96,1042527
2020-03-31,18.14,18.4664,17.18,17.81,17.81,1198693
2020-04-01,17.07,17.5,16.23,16.58,16.58,1241612
2020-04-02,16.59,17.31,16.22,16.77,16.77,1210337
2020-04-03,16.555,17.035,16.5,16.79,16.79,782029
2020-04-06,17.62,19.19,17.37,18.92,18.92,1464830
2020-04-07,19.5,20.66,19.17,19.85,19.85,1763091
2020-04-08,20.01,21.73,19.515,20.81,20.81,2472336
2020-04-09,21.39,23.84,21.1,23.2,23.2,2225245
2020-04-13,23.34,23.355,21.31,23.14,23.14,533253
2020-04-14,23.2,23.71,22.75,23.1,23.1,1039407
2020-04-15,22.58,22.85,22,22.58,22.58,377822
2020-04-16,22.7,22.935,21.26,22,22,985995
2020-04-17,22.54,22.865,21.77,22.25,22.25,930073
2020-04-20,21.67,23.79,21.46,22.87,22.87,1356159
2020-04-21,22.54,22.89,21.895,22.02,22.02,639806
2020-04-22,22.35,23.45,21.91,22.53,22.53,581920
2020-04-23,22.78,24.47,22.78,23.08,23.08,1045292
2020-04-24,23.27,23.74,22.29,22.51,22.51,630407
2020-04-27,22.73,23.38,22.1,22.1,22.1,623982
2020-04-28,22.51,24.31,22.5,23.5,23.5,836249
2020-04-29,23.73,24.24,23.52,23.95,23.95,1469119
2020-04-30,23.88,24.31,23.24,23.9,23.9,537600
2020-05-01,23.72,23.8899,21.625,22.72,22.72,487566
2020-05-04,22.5,24,22.0417,23.87,23.87,966560
2020-05-05,24.22,25.51,23.855,23.92,23.92,623060
2020-05-06,24,24.855,24,24.43,24.43,642445
2020-05-07,26.15,27.54,26.05,26.49,26.49,1255945
2020-05-08,27.07,28.6958,26.97,27.44,27.44,1042949
2020-05-11,27.5,28.21,26.81,27.49,27.49,815874
2020-05-12,27.87,28.0299,26.93,26.93,26.93,312536
2020-05-13,26.78,27.13,25.95,26.82,26.82,751505
2020-05-14,26.18,26.64,25.22,26.18,26.18,361230
2020-05-15,26.15,27.55,25.93,27.51,27.51,400109
2020-05-18,28.1,28.48,27.57,27.6,27.6,317661
2020-05-19,27.76,27.89,26.32,26.39,26.39,733982
2020-05-20,26.45,28.005,26.45,27.8,27.8,1136143
2020-05-21,27.91,28.18,27.28,27.66,27.66,424546
2020-05-22,27.85,28.11,26.95,27.27,27.27,474954
2020-05-26,27.06,27.95,26.91,26.97,26.97,422381
2020-05-27,27.24,27.76,26.515,27.34,27.34,636846
2020-05-28,27.28,27.71,26.51,27.02,27.02,242000
2020-05-29,27.06,27.36,26.34,27.24,27.24,329536
2020-06-01,27.21,29.57,26.97,28.07,28.07,1322706
2020-06-02,28.09,28.78,27.55,28.51,28.51,680893
2020-06-03,28.78,29.685,28.0167,28.59,28.59,1061898
2020-06-04,28.93,28.93,27.815,27.96,27.96,1171812
2020-06-05,27.91,28.4,27.19,27.25,27.25,1026603
2020-06-08,27.5,27.78,26.266,26.82,26.82,1023022
2020-06-09,26.75,27.81,26,26.23,26.23,627755
2020-06-10,26.37,26.59,26,26.41,26.41,862603
2020-06-11,25.53,25.89,24.75,25.22,25.22,1405147
2020-06-12,26.22,26.48,24.94,25.65,25.65,1435365
2020-06-15,25.32,27.76,25.2,27.38,27.38,1220500
2020-06-16,27.99,28.37,26.16,26.84,26.84,833900
2020-06-17,26.93,27.91,26.69,27.15,27.15,993800
2020-06-18,27.1,27.98,26.68,27.3,27.3,917000
2020-06-19,27.54,28.34,26.82,26.9,26.9,4241600
2020-06-22,27,27.97,26.18,26.79,26.79,536900
2020-06-23,27,27.54,26.626,26.94,26.94,359100
2020-06-24,26.66,27.18,25.59,26.44,26.44,821200
2020-06-25,26.42,26.97,26.23,26.73,26.73,364400
2020-06-26,26.62,26.67,26.01,26.3,26.3,1207300
2020-06-29,26.56,26.85,26.01,26.3,26.3,630700
2020-06-30,26.3,27.23,26.01,26.8,26.8,691500
2020-07-01,27.28,27.3,26.35,26.62,26.62,683500
2020-07-02,26.97,27.56,26.59,26.88,26.88,414300
2020-07-06,27.19,27.93,26.94,27.43,27.43,760400
2020-07-07,27.3,28.2,26.84,28.05,28.05,751600
2020-07-08,28.09,28.855,27.94,28.1,28.1,580600
2020-07-09,28.34,29.39,28.2,29.24,29.24,697200
2020-07-10,29.32,29.66,28.71,29.09,29.09,692000
2020-07-13,29.35,29.88,27.87,28.12,28.12,609300
2020-07-14,27.96,28.5,27.3,28.37,28.37,616600
2020-07-15,28.92,29.44,28.44,28.76,28.76,527500
2020-07-16,28.75,28.89,28.29,28.61,28.61,295200
2020-07-17,28.54,30.46,28.54,30.12,30.12,790000
2020-07-20,30.44,30.675,29.8,30.21,30.21,673216
2020-07-21,29.88,31.07,29.711,30.84,30.84,1191027
2020-07-22,30.94,32.17,30.83,31.94,31.94,1029176
2020-07-23,31.99,32.142,31.01,31.05,31.05,630624
2020-07-24,30.76,30.76,29.27,29.75,29.75,572692
2020-07-27,30.05,30.36,29.55,29.67,29.67,398114
2020-07-28,29.74,30.35,28.78,28.99,28.99,544861
2020-07-29,29.08,29.62,29,29,29,399143
2020-07-30,28.63,29.46,28,29.21,29.21,316361
2020-07-31,29.29,29.77,28.84,29.37,29.37,400900
2020-08-03,30.05,31.8,30,31.25,31.25,1028300
2020-08-04,31.43,31.75,30.65,30.86,30.86,620900
2020-08-05,32,32.24,30.24,32,32,1475400
2020-08-06,32.5,32.79,31.68,31.76,31.76,584400
2020-08-07,31.4,32.02,31.12,31.98,31.98,627300
2020-08-10,32,32.12,31.47,31.79,31.79,660000
2020-08-11,31.81,32.06,31.32,31.44,31.44,631200
2020-08-12,31.52,32.315,31.13,32.06,32.06,568300
2020-08-13,32.19,32.44,31.45,31.46,31.46,396900
2020-08-14,31.44,31.56,30.68,30.98,30.98,347700
2020-08-17,31.12,31.6,31.02,31.32,31.32,422200
2020-08-18,31.43,32.08,31.085,31.95,31.95,551200
2020-08-19,31.9,32.51,31.8,32.08,32.08,490800
2020-08-20,32.07,32.47,31.545,32.1,32.1,368000
2020-08-21,31.98,32.15,31.4,31.85,31.85,361600
2020-08-24,32.16,33.27,31.96,33,33,646500
2020-08-25,33.24,33.48,32.7,33.36,33.36,988000
2020-08-26,33.41,33.87,33.05,33.69,33.69,427800
2020-08-27,33.71,34.35,33.4,33.61,33.61,1593600
2020-08-28,33.79,34.22,33.65,33.99,33.99,674600
2020-08-31,33.99,34.7,33.6,34.34,34.34,1030600
