Date,Open,High,Low,Close,AdjustedClose,Volume
2020-08-21,35.01,37.745,28.33,33.26,33.26,3875200
2020-08-24,32.92,34.15,27.845,28.44,28.44,576100
2020-08-25,27.8,31.25,26.909,31.25,31.25,416400
2020-08-26,31.85,31.85,30,30.28,30.28,233900
2020-08-27,30,34.8,29.65,33.27,33.27,999300
2020-08-28,33.27,34.43,30.747,33.28,33.28,290900
2020-08-31,32.78,33.99,31.9,31.9,31.9,113700
2020-09-01,31.27,32.795,30.01,31.16,31.16,89400
2020-09-02,31.08,32.61,30.8,31.15,31.15,126600
2020-09-03,31.6,31.95,29.57,30.29,30.29,128500
2020-09-04,30.27,30.35,29.32,29.55,29.55,85000
2020-09-08,29.36,31.27,26.87,27.28,27.28,251000
2020-09-09,27.99,28.32,25.43,26.1,26.1,136700
2020-09-10,26.06,30.1,25.56,29.23,29.23,215600
2020-09-11,29.08,32.3,28.53,31.19,31.19,181000
2020-09-14,31.19,32.9,30.5,32.78,32.78,87000
2020-09-15,31.65,32,30.22,30.51,30.51,169600
2020-09-16,30.08,31.443,29,29.92,29.92,139800
2020-09-17,29.58,29.8,28.621,29.02,29.02,322900
2020-09-18,29.09,30.96,28.8,30.64,30.64,118600
2020-09-21,30.16,31.138,28.61,29.22,29.22,255600
2020-09-22,29.35,30.32,29.16,29.65,29.65,96200
2020-09-23,29.84,30.43,28.95,29.98,29.98,97800
2020-09-24,30.02,31.03,29.67,29.91,29.91,346100
2020-09-25,29.98,32.73,29.62,30.84,30.84,139300
2020-09-28,30.83,31.89,30.51,30.79,30.79,159200
2020-09-29,30.82,32.47,30.82,31.54,31.54,67100
2020-09-30,31.56,33,30.56,32.31,32.31,84500
2020-10-01,32.57,32.935,28.52,29.08,29.08,359600
2020-10-02,28.42,30.6,27.65,29.31,29.31,100500
2020-10-05,29.6,30.36,28,28.07,28.07,111100
2020-10-06,28.22,30.13,28.22,28.92,28.92,68400
2020-10-07,29.08,32.29,29.003,31.75,31.75,43700
2020-10-08,31.7,35.12,31.6,33.5,33.5,140800
2020-10-09,33.48,38,33.45,36.89,36.89,157200
2020-10-12,37.26,39.17,36.14,37.25,37.25,194200
2020-10-13,37.35,39.89,37.35,38.5,38.5,96800
2020-10-14,39.1,39.65,35.31,36.76,36.76,122600
2020-10-15,36.09,39.6,36.09,38.8,38.8,80300
2020-10-16,38.4,38.95,36.99,38.38,38.38,53800
2020-10-19,38.41,41.71,37.2,39.24,39.24,65300
2020-10-20,39.24,39.96,38.06,38.07,38.07,34900
2020-10-21,38.59,38.605,34.13,34.57,34.57,112500
2020-10-22,34.73,37.89,33.02,35.01,35.01,74400
2020-10-23,35.03,39.99,35.03,37.5,37.5,57600
2020-10-26,37.6,38.665,35.46,36.5,36.5,92800
2020-10-27,36.05,38.65,36.05,37.75,37.75,123400
2020-10-28,37.25,37.6,36.07,36.07,36.07,33900
2020-10-29,36.26,37,35.64,36.45,36.45,36700
2020-10-30,36.55,37.153,34.5,35.99,35.99,50700
2020-11-02,36.675,37.14,36.1,36.18,36.18,55900
2020-11-03,36.38,37.55,35.868,36.84,36.84,45200
2020-11-04,37.08,40.915,37.05,40.44,40.44,127300
2020-11-05,40.99,45.34,40.99,43.71,43.71,111300
2020-11-06,44.13,44.7,42.81,43.95,43.95,120300
2020-11-09,45.21,47.27,43.35,44.8,44.8,72200
2020-11-10,44.8,48.2,43.89,46.34,46.34,107700
2020-11-11,46.79,49.663,46.59,46.96,46.96,108900
2020-11-12,46.26,48.243,44.53,45.06,45.06,154900
2020-11-13,45.79,46.72,44.96,46.13,46.13,131900
2020-11-16,46.68,47.08,44.9,46.6,46.6,108800
2020-11-17,46.59,52.08,45.5,51.36,51.36,97500
2020-11-18,52.2,53.49,50.39,51.2,51.2,84500
2020-11-19,51.675,52.155,49.755,50.12,50.12,86600
2020-11-20,50.653,50.653,48.4,49.86,49.86,60100
2020-11-23,50,50,46.02,47.84,47.84,82800
2020-11-24,49,49.93,44.765,45.81,45.81,101900
2020-11-25,47.17,48.06,45.68,47.2,47.2,86700
2020-11-27,47.86,49,46.79,48.03,48.03,72700
2020-11-30,48.27,49.11,46.02,46.64,46.64,248200
2020-12-01,46.47,51.22,46.47,47.04,47.04,257200
2020-12-02,47.18,55,46.14,51.9,51.9,208000
2020-12-03,52.53,53.65,50.113,50.56,50.56,168400
2020-12-04,53.72,55.48,51.49,53.47,53.47,74200
2020-12-07,54.17,55.24,49.42,49.7,49.7,121500
2020-12-08,51.415,56.37,49.72,55.88,55.88,209500
2020-12-09,56.74,59.89,54.72,55.66,55.66,184300
2020-12-10,55.03,63.71,54.82,60.83,60.83,133000
2020-12-11,60.14,65.35,58.97,61.97,61.97,179200
2020-12-14,64.01,69.74,64.01,67.13,67.13,274100
2020-12-15,68.76,69.5,62.045,62.97,62.97,209200
2020-12-16,64.19,68.33,62.83,63.61,63.61,171900
2020-12-17,64.99,69,63.33,66.48,66.48,311500
2020-12-18,67.34,75.24,65.72,71.51,71.51,1732250
2020-12-21,68.33,74.55,63.99,74.48,74.48,243700
2020-12-22,74.48,79.32,72.985,77.1,77.1,238600
2020-12-23,77.49,81.403,75.96,80.58,80.58,107400
2020-12-24,80.7,87.08,79.355,86.1,86.1,86600
2020-12-28,88.02,91.92,83.17,87.83,87.83,206799
2020-12-29,87.54,87.77,73.54,74,74,211295
2020-12-30,74.43,77.879,68.01,71.85,71.85,155220
2020-12-31,71.84,71.84,60,62,62,288384
2021-01-04,62.48,62.78,59.45,61.63,61.63,200777
2021-01-05,61.99,64.34,59.52,62.49,62.49,190097
2021-01-06,63.38,67.06,61.01,66.43,66.43,123912
2021-01-07,67.58,73.9,66.0436,73.31,73.31,202396
2021-01-08,74.63,83.025,72.26,77.15,77.15,311031
2021-01-11,76.74,81.09,75,76.52,76.52,168130
