Date,Open,High,Low,Close,AdjustedClose,Volume
2018-09-05,24.88,24.88,24.5,24.75,24.75,6678
2018-09-06,24.74,24.74,24.5,24.54,24.54,2855
2018-09-07,24.55,24.599,24.5,24.5,24.5,2601
2018-09-10,24.58,24.58,24.47,24.5322,24.5322,3049
2018-09-11,24.53,24.56,24.53,24.53,24.53,2210
2018-09-12,24.37,24.4584,24.36,24.4584,24.4584,1169
2018-09-13,24.68,24.68,24.53,24.58,24.58,10592
2018-09-14,24.7403,24.76,24.7306,24.76,24.76,2004
2018-09-17,24.77,24.77,24.589,24.6,24.6,2894
2018-09-18,24.45,24.81,24.45,24.76,24.76,3145
2018-09-19,24.72,24.72,24.66,24.6676,24.6676,1324
2018-09-20,24.8,24.879,24.78,24.87,24.87,5459
2018-09-21,24.88,24.909,24.84,24.84,24.84,624
2018-09-24,24.6257,24.815,24.6257,24.815,24.815,1377
2018-09-25,24.84,24.9,24.82,24.8848,24.8848,835
2018-09-26,24.8438,24.8553,24.8,24.8,24.8,1109
2018-09-27,24.69,24.7,24.64,24.67,24.67,2165
2018-09-28,24.67,24.67,24.6498,24.6498,24.6498,907
2018-10-01,24.7452,24.7452,24.7452,24.7452,24.7452,218
2018-10-02,24.63,24.6599,24.5,24.5,24.5,2283
2018-10-03,24.57,24.57,24.54,24.54,24.54,400
2018-10-04,24.56,24.56,24.2,24.2,24.2,632
2018-10-05,24,24,23.69,23.7843,23.7843,1093
2018-10-08,23.58,23.59,23.58,23.59,23.59,398
2018-10-09,23.419,23.42,23.39,23.39,23.39,906
2018-10-10,23.2,23.2,22.51,22.51,22.51,1641
2018-10-11,22.49,22.49,22.49,22.49,22.49,739
2018-10-12,22.53,22.53,22.49,22.53,22.53,1485
2018-10-16,22.72,22.72,22.72,22.72,22.72,169
2018-10-17,23.06,23.07,22.93,23.07,23.07,789
2018-10-18,22.97,22.97,22.59,22.59,22.59,1403
2018-10-22,22.38,22.386,22.38,22.386,22.386,401
2018-10-23,21.84,22.248,21.84,22.248,22.248,3512
2018-10-24,21.74,21.74,21.65,21.65,21.65,862
2018-10-25,21.64,21.66,21.64,21.66,21.66,449
2018-10-26,21.05,21.44,21.05,21.349,21.349,318
2018-10-29,21.5,21.5,21.5,21.5,21.5,205
2018-10-30,20.96,21.3556,20.96,21.35,21.35,700
2018-10-31,21.48,21.61,21.48,21.61,21.61,540
2018-11-02,22.6,22.6,22.29,22.37,22.37,63132
2018-11-05,22.37,22.37,22.1125,22.1125,22.1125,352
2018-11-06,22.28,22.39,22.28,22.39,22.39,7454
2018-11-07,22.61,22.8,22.61,22.8,22.8,304
2018-11-08,22.7676,22.7676,22.659,22.659,22.659,805
2018-11-12,22.24,22.24,21.6,21.69,21.69,902
2018-11-13,21.7052,21.7052,21.7052,21.7052,21.7052,219
2018-11-14,21.76,21.76,21.4846,21.58,21.58,4393
2018-11-15,21.55,22.17,21.54,22.08,22.08,2692
2018-11-16,21.88,21.9971,21.75,21.99,21.99,1195
2018-11-19,22.04,22.04,21.4969,21.4969,21.4969,3163
2018-11-20,20.74,20.96,20.5,20.8045,20.8045,3376
2018-11-26,21.235,21.235,21.235,21.235,21.235,245
2018-11-28,21.4613,21.4613,21.2802,21.2802,21.2802,271
2018-11-30,21.8,21.8,21.8,21.8,21.8,561
2018-12-03,22.36,22.3628,22.36,22.3628,22.3628,264
2018-12-06,21.14,21.53,21.14,21.53,21.53,660
2018-12-07,21.4497,21.4497,21.4497,21.4497,21.4497,173
2018-12-10,20.9,21.1751,20.9,21.1751,21.1751,415
2018-12-11,21.31,21.31,21.0947,21.0947,21.0947,258
2018-12-12,21.402,21.402,21.3255,21.3255,21.3255,352
2018-12-13,21.14,21.14,21.1196,21.1196,21.1196,142
2018-12-14,20.9756,20.9756,20.808,20.808,20.808,258
2018-12-17,20.2824,20.2824,20.2824,20.2824,20.2824,119
2018-12-18,20.5195,20.5195,20.5195,20.5195,20.5195,22
2018-12-19,20,20.1,20,20.096,20.096,5582
2018-12-20,19.5311,19.74,19.5311,19.6728,19.6728,5885
2018-12-21,19.58,19.709,19.1746,19.1746,19.1746,9495
2018-12-24,19.14,19.14,18.8315,18.8315,18.8315,508
2018-12-26,18.85,19.6024,18.85,19.6024,19.6024,399
2018-12-27,19.36,19.78,19.36,19.78,19.78,701
2018-12-28,19.88,19.88,19.7576,19.858,19.858,4910
2018-12-31,19.89,20,19.86,20,20,1204
2019-01-02,19.86,20.1051,19.86,20.1051,20.1051,1215
2019-01-03,19.91,19.91,19.3644,19.3644,19.3644,60176
2019-01-04,19.86,20.1165,19.86,20.1165,20.1165,323
2019-01-07,20.2,20.3731,20.2,20.3731,20.3731,235
2019-01-08,20.4642,20.4642,20.1,20.387,20.387,255
2019-01-09,20.58,20.69,20.58,20.684,20.684,234
2019-01-10,20.64,20.9029,20.64,20.9029,20.9029,847
2019-01-11,20.76,20.8385,20.76,20.8385,20.8385,121
2019-01-14,20.67,20.6961,20.58,20.5907,20.5907,4788
2019-01-15,20.78,20.82,20.74,20.7885,20.7885,4605
2019-01-16,20.84,20.84,20.822,20.822,20.822,265
2019-01-17,20.76,21,20.76,20.9667,20.9667,592
2019-01-18,21.17,21.3689,21.11,21.3689,21.3689,3030
2019-01-22,21.05,21.0638,20.8726,20.8726,20.8726,1529
2019-01-23,21.03,21.0383,20.87,20.967,20.967,808
2019-01-24,21.53,21.6261,21.53,21.6261,21.6261,484
2019-01-25,21.85,22.1827,21.85,22.1827,22.1827,769
2019-01-28,21.89,22.0399,21.89,21.9777,21.9777,692
2019-01-29,21.94,21.94,21.8053,21.8053,21.8053,788
2019-01-30,22.01,22.3714,22.01,22.3714,22.3714,273
2019-01-31,22.41,22.58,22.41,22.4683,22.4683,4833
2019-02-01,22.53,22.65,22.5247,22.5798,22.5798,7933
2019-02-04,22.6301,22.7224,22.6301,22.7224,22.7224,588
2019-02-05,22.86,22.86,22.8355,22.8355,22.8355,1699
2019-02-06,22.8109,22.9999,22.8109,22.9394,22.9394,1296
2019-02-07,22.5612,22.62,22.5319,22.5998,22.5998,1058
2019-02-08,22.41,22.55,22.38,22.55,22.55,11749
2019-02-11,22.55,22.59,22.549,22.5682,22.5682,884
2019-02-12,23,23.0106,23,23.0106,23.0106,14304
2019-02-13,23.1694,23.1694,23.1694,23.1694,23.1694,47
2019-02-14,23.2043,23.2385,23.2,23.2385,23.2385,1370
2019-02-15,23.4147,23.4263,23.39,23.4263,23.4263,1199
2019-02-19,23.43,23.58,23.43,23.5328,23.5328,2451
2019-02-20,23.76,23.76,23.66,23.6695,23.6695,3419
2019-02-21,23.74,23.749,23.628,23.6594,23.6594,2972
2019-02-22,23.79,23.9433,23.79,23.9433,23.9433,4407
2019-02-25,24.18,24.299,24.11,24.1287,24.1287,24938
2019-02-26,24.11,24.11,24.04,24.1,24.1,3240
2019-02-27,24.08,24.08,23.85,23.9701,23.9701,2920
2019-02-28,23.92,23.93,23.8,23.8396,23.8396,3711
2019-03-01,23.9648,23.9917,23.84,23.9917,23.9917,10018
2019-03-04,24.16,24.16,23.7439,23.896,23.896,10009
2019-03-05,23.86,23.889,23.8269,23.8269,23.8269,1144
2019-03-06,23.57,23.58,23.5324,23.5324,23.5324,3991
2019-03-07,23.4,23.4,23.14,23.1802,23.1802,1846
2019-03-08,23.05,23.2043,23.041,23.2043,23.2043,863
2019-03-11,23.34,23.6786,23.34,23.6664,23.6664,564
2019-03-12,23.86,23.86,23.72,23.7292,23.7292,3883
2019-03-13,23.79,23.86,23.77,23.8024,23.8024,2256
2019-03-14,23.7,23.7,23.536,23.536,23.536,2302
2019-03-15,23.7,23.9344,23.7,23.8639,23.8639,1606
2019-03-18,23.89,23.91,23.8,23.8488,23.8488,1153
2019-03-19,24.01,24.039,23.958,23.958,23.958,2345
2019-03-20,23.842,23.97,23.75,23.88,23.88,2680
2019-03-21,24.21,24.3701,24.21,24.3534,24.3534,376
2019-03-22,24,24,23.6843,23.6843,23.6843,1452
2019-03-25,23.44,23.5937,23.44,23.5631,23.5631,988
2019-03-26,23.8001,23.8153,23.61,23.6372,23.6372,2064
2019-03-27,23.71,23.71,23.41,23.4335,23.4335,2057
2019-03-28,23.498,23.57,23.4894,23.5117,23.5117,1198
2019-03-29,23.74,23.86,23.74,23.8447,23.8447,7918
2019-04-01,24.12,24.2632,24.12,24.2632,24.2632,355
2019-04-02,24.25,24.3132,24.25,24.3132,24.3132,1921
2019-04-03,24.7599,24.788,24.663,24.663,24.663,942
2019-04-04,24.65,24.65,24.4631,24.5592,24.5592,6735
2019-04-05,24.65,24.705,24.65,24.696,24.696,5843
2019-04-08,24.65,24.7101,24.64,24.7101,24.7101,1540
2019-04-09,24.62,24.62,24.4992,24.4992,24.4992,4238
2019-04-10,24.6,24.6899,24.5786,24.6742,24.6742,1647
2019-04-11,24.758,24.758,24.6826,24.6826,24.6826,689
2019-04-12,24.86,24.9019,24.86,24.9019,24.9019,2185
2019-04-15,25,25,24.79,24.8531,24.8531,3068
2019-04-16,25.0674,25.119,25.05,25.0928,25.0928,2075
2019-04-17,25.0965,25.1319,25.0965,25.1319,25.1319,1338
2019-04-18,25,25.0856,25,25.0737,25.0737,3331
2019-04-22,25.02,25.0799,24.959,25.0799,25.0799,2368
2019-04-23,25.15,25.28,25.15,25.2752,25.2752,1518
2019-04-24,25.28,25.48,25.2597,25.3202,25.3202,2279
2019-04-25,25.25,25.25,24.99,25.075,25.075,5614
2019-04-26,24.8622,25.1237,24.8622,25.1237,25.1237,1236
