Date,Open,High,Low,Close,AdjustedClose,Volume
2020-10-01,12.25,15.03,12.01,13.8,13.8,7506491
2020-10-02,13.64,13.9,12.3,12.45,12.45,1106078
2020-10-05,12.96,13.15,12.05,12.36,12.36,396266
2020-10-06,12.19,12.45,11.75,12.1,12.1,424756
2020-10-07,12.04,12.19,11.8,11.86,11.86,471003
2020-10-08,11.86,12.45,11.81,12.23,12.23,205862
2020-10-09,12.36,12.99,12,12.5,12.5,340228
2020-10-12,12.79,13.21,12.51,13,13,304902
2020-10-13,13.17,13.25,12.8001,12.97,12.97,102291
2020-10-14,13.23,13.25,12.8,12.84,12.84,115689
2020-10-15,12.98,13.24,12.6,13.15,13.15,234403
2020-10-16,13.25,13.4,13.13,13.19,13.19,132109
2020-10-19,13.34,13.58,12.8,13.51,13.51,223820
2020-10-20,13.38,14,13.305,13.68,13.68,220283
2020-10-21,13.81,13.85,13.11,13.3,13.3,238355
2020-10-22,13.11,13.73,12.66,13.41,13.41,283294
2020-10-23,13.5,13.565,13.08,13.17,13.17,227344
2020-10-26,13.07,13.8,12.9,13.01,13.01,471206
2020-10-27,13.45,13.6399,13.08,13.23,13.23,462041
2020-10-28,13.41,13.55,13.06,13.23,13.23,283733
2020-10-29,13.45,13.45,13.11,13.23,13.23,236457
2020-10-30,13.29,13.46,13.15,13.19,13.19,163291
2020-11-02,13.33,13.375,12.74,12.85,12.85,271139
2020-11-03,12.86,13.04,12.43,12.77,12.77,447899
2020-11-04,12.74,13.35,12.69,13.1,13.1,280490
2020-11-05,13.17,13.49,12.9,13.19,13.19,267447
2020-11-06,13.23,13.975,13.03,13.68,13.68,267317
2020-11-09,13.71,14.47,13.64,14.02,14.02,257944
2020-11-10,14.04,14.43,13.8,13.95,13.95,168748
2020-11-11,13.94,14.3,13.3,13.5,13.5,218123
2020-11-12,13.44,13.47,12.81,12.97,12.97,236193
2020-11-13,13.08,13.47,13.0501,13.29,13.29,241977
2020-11-16,13.37,14,13.2201,13.72,13.72,342348
2020-11-17,13.76,13.9887,13.52,13.64,13.64,182796
2020-11-18,13.72,14.34,13.64,13.91,13.91,151530
2020-11-19,13.87,14,13.75,13.97,13.97,110257
2020-11-20,13.85,14,13.65,13.79,13.79,108855
2020-11-23,13.92,13.92,13.34,13.6,13.6,124636
2020-11-24,13.48,13.89,13.4,13.54,13.54,79573
2020-11-25,13.55,13.83,13.3,13.4,13.4,108506
2020-11-27,13.53,13.5499,13.11,13.34,13.34,119051
2020-11-30,13.39,13.75,13.15,13.45,13.45,214490
2020-12-01,13.5,13.79,13.47,13.6,13.6,141166
2020-12-02,13.48,13.72,13.42,13.46,13.46,164720
2020-12-03,13.59,13.59,13.3201,13.37,13.37,102573
2020-12-04,13.36,13.7,13.31,13.63,13.63,137883
2020-12-07,13.5,13.78,13.39,13.68,13.68,263102
2020-12-08,13.66,13.9123,13.5,13.81,13.81,143417
2020-12-09,13.89,13.94,13.34,13.61,13.61,166889
2020-12-10,13.57,13.6234,12.91,13.14,13.14,586942
2020-12-11,13.26,13.61,13.2,13.31,13.31,210881
2020-12-14,13.39,13.53,13.18,13.41,13.41,210751
2020-12-15,13.48,13.65,13.215,13.65,13.65,148721
2020-12-16,13.62,14.3,13.52,14.23,14.23,320837
2020-12-17,14.28,15.24,14.0911,14.87,14.87,481794
2020-12-18,15,15.43,14.16,14.29,14.29,1523418
2020-12-21,13.99,14.825,13.85,14.71,14.71,262301
2020-12-22,14.11,14.2,13.4,14.12,14.12,623385
2020-12-23,14.17,14.58,14.03,14.5,14.5,132536
2020-12-24,14.5,14.77,14.3576,14.65,14.65,38531
2020-12-28,14.67,14.99,14.6,14.78,14.78,138727
2020-12-29,15,15,14.6,14.66,14.66,100125
2020-12-30,14.75,15.12,14.6746,15.04,15.04,112861
2020-12-31,15.08,15.15,14.7512,15.05,15.05,129926
2021-01-04,15,15.2,14.71,15,15,269899
2021-01-05,15,15.4,14.767,15.2,15.2,334435
2021-01-06,15.23,15.99,15.23,15.68,15.68,347300
