Date,Open,High,Low,Close,AdjustedClose,Volume
2018-06-28,20.59,22.09,18,18.02,18.02,4390200
2018-06-29,18.53,18.53,16.63,18.12,18.12,1432500
2018-07-02,18.12,18.38,17.55,18.01,18.01,211700
2018-07-03,18,18.989,18,18.69,18.69,103700
2018-07-05,18.6,18.75,17.79,17.88,17.88,161900
2018-07-06,17.9,18,17.14,17.7,17.7,430400
2018-07-09,17.68,17.95,16.861,17.39,17.39,249300
2018-07-10,17.24,17.365,16.81,17.15,17.15,296800
2018-07-11,17.16,17.16,16.753,16.87,16.87,58500
2018-07-12,17.03,17.362,16.26,16.66,16.66,207500
2018-07-13,16.53,17.1,16.14,16.9,16.9,196500
2018-07-16,17.84,17.84,16.03,16.7,16.7,173200
2018-07-17,16.32,16.835,16,16.43,16.43,122500
2018-07-18,16.35,18,15.9,17.95,17.95,212000
2018-07-19,17.31,18.15,17.09,17.57,17.57,77900
2018-07-20,17.83,18.287,17.46,17.87,17.87,111600
2018-07-23,17.54,18.1,16.82,17.14,17.14,136300
2018-07-24,17.55,17.88,16.89,17.22,17.22,75700
2018-07-25,17.707,17.707,16.53,16.6,16.6,78000
2018-07-26,16.59,16.61,15.82,15.91,15.91,171900
2018-07-27,15.99,16.78,15.99,16.42,16.42,48600
2018-07-30,16.41,16.41,15.51,15.51,15.51,35300
2018-07-31,15.5,15.5,15.03,15.03,15.03,99500
2018-08-01,15.25,15.715,14.52,14.75,14.75,88400
2018-08-02,14.07,15.229,13.81,13.96,13.96,117500
2018-08-03,14.06,14.5,13.81,14.35,14.35,57600
2018-08-06,14.46,15.54,14.35,15.05,15.05,71400
2018-08-07,14.46,15.77,14.46,15.04,15.04,151500
2018-08-08,15.04,16,14.27,15.56,15.56,277800
2018-08-09,15.45,15.45,14.58,14.85,14.85,147000
2018-08-10,15.12,15.12,14.58,14.72,14.72,31200
2018-08-13,14.9,15.287,14.47,14.59,14.59,57300
2018-08-14,14.52,15.15,14.52,14.84,14.84,157300
2018-08-15,14.85,15.079,14.19,14.36,14.36,85700
2018-08-16,14.46,14.575,14.25,14.49,14.49,36300
2018-08-17,14.35,14.775,14.02,14.23,14.23,31100
2018-08-20,14.24,14.868,14.06,14.35,14.35,44900
2018-08-21,14.25,14.879,14.155,14.23,14.23,33100
2018-08-22,14.22,14.798,13.93,14,14,55700
2018-08-23,13.9,14.069,13.35,13.65,13.65,50200
2018-08-24,13.74,13.9,13.38,13.61,13.61,72000
2018-08-27,13.7,13.7,13.23,13.61,13.61,81200
2018-08-28,13.51,13.673,13.27,13.44,13.44,42500
2018-08-29,13.46,13.56,13.32,13.39,13.39,47700
2018-08-30,13.58,13.58,13.17,13.22,13.22,33100
2018-08-31,13.22,13.34,13.056,13.25,13.25,31500
2018-09-04,13.25,13.313,12.41,12.51,12.51,226100
2018-09-05,12.51,12.86,12.01,12.55,12.55,182400
2018-09-06,12.55,13.71,12.43,13.18,13.18,165600
2018-09-07,13.18,14.83,12.85,13.7,13.7,189900
2018-09-10,13.72,13.846,13.245,13.7,13.7,99200
2018-09-11,13.6,13.863,13.29,13.51,13.51,162800
2018-09-12,14.15,14.15,13.46,13.58,13.58,59400
2018-09-13,13.44,14.47,13.44,14.17,14.17,172000
2018-09-14,14.27,14.75,13.95,14.52,14.52,177500
2018-09-17,14.61,14.9,14.2,14.7,14.7,67900
2018-09-18,14.57,15.22,14.384,15.02,15.02,108000
2018-09-19,14.97,15.42,14.81,15.25,15.25,111700
2018-09-20,15.25,16.22,15.25,15.85,15.85,128900
2018-09-21,15.88,15.88,15.03,15.1,15.1,179300
2018-09-24,15.09,15.389,14.5,15,15,260400
2018-09-25,15.109,15.109,14.08,14.19,14.19,115700
2018-09-26,14.08,14.569,13.865,14.29,14.29,295100
2018-09-27,14.29,14.77,14.1,14.31,14.31,94500
2018-09-28,14.23,14.98,13.905,14.86,14.86,85900
2018-10-01,14.95,15.8,14.241,15.46,15.46,78200
2018-10-02,15.52,16.07,15.02,16,16,83700
2018-10-03,16.1,16.9,15.66,16.85,16.85,211000
2018-10-04,16.98,17.2,16.578,16.94,16.94,117000
2018-10-05,16.55,16.61,14.88,15.02,15.02,150100
2018-10-08,15,15.675,14.26,14.4,14.4,74500
2018-10-09,14.41,14.66,14,14.38,14.38,34000
2018-10-10,14.35,14.35,13.075,13.74,13.74,93600
2018-10-11,13.62,13.953,13.08,13.21,13.21,77400
2018-10-12,13.32,13.684,12.86,13,13,99300
2018-10-15,13.13,13.22,12.53,13.22,13.22,68700
2018-10-16,13.22,13.61,12.43,12.49,12.49,121400
2018-10-17,12.5,12.72,12.18,12.53,12.53,136000
2018-10-18,12.661,12.9,12.06,12.23,12.23,157200
2018-10-19,12.23,12.574,11.76,12.14,12.14,57200
2018-10-22,12.23,12.48,11.645,12.01,12.01,108700
2018-10-23,11.92,12.39,11.92,12,12,64600
2018-10-24,12,12.36,11.53,11.85,11.85,73000
2018-10-25,11.85,12.25,11.6,11.8,11.8,100400
2018-10-26,11.75,12.2,11.53,11.99,11.99,68200
2018-10-29,11.95,12.95,11.91,12.52,12.52,53800
2018-10-30,12.61,13.45,12.55,12.67,12.67,48300
2018-10-31,12.77,13.06,12.74,12.87,12.87,42900
2018-11-01,13.384,13.43,12.61,13.2,13.2,55200
2018-11-02,13.34,13.359,11.932,12.15,12.15,210100
2018-11-05,12,13.375,11.63,13.22,13.22,45000
2018-11-06,13.23,13.534,12.302,12.87,12.87,30200
2018-11-07,12.4,12.8,12.12,12.6,12.6,27800
2018-11-08,12.65,12.989,12.02,12.11,12.11,77900
