Date,Open,High,Low,Close,AdjustedClose,Volume
2021-04-26,9.66,9.66,9.65,9.66,9.66,2800
2021-04-27,9.68,9.72,9.67,9.68,9.68,22000
2021-04-28,9.7,9.87,9.68,9.68,9.68,34600
2021-04-29,9.663,9.764,9.66,9.72,9.72,63100
2021-04-30,9.71,9.72,9.66,9.72,9.72,25400
2021-05-03,9.68,9.72,9.68,9.71,9.71,2900
2021-05-04,9.68,9.68,9.68,9.68,9.68,500
2021-05-05,9.68,9.68,9.68,9.68,9.68,300
2021-05-06,9.68,9.68,9.68,9.68,9.68,0
2021-05-07,9.71,9.71,9.69,9.69,9.69,900
2021-05-10,9.69,9.69,9.69,9.69,9.69,0
2021-05-11,9.68,9.71,9.68,9.71,9.71,400
2021-05-12,9.71,9.71,9.705,9.705,9.705,1000
2021-05-13,9.69,9.69,9.68,9.68,9.68,1700
2021-05-14,9.7,9.7,9.68,9.68,9.68,400
2021-05-17,9.81,9.81,9.739,9.739,9.739,200
2021-05-18,9.73,9.73,9.73,9.73,9.73,1100
2021-05-19,9.73,9.73,9.73,9.73,9.73,0
2021-05-20,9.73,9.73,9.73,9.73,9.73,0
2021-05-21,9.73,9.73,9.73,9.73,9.73,0
2021-05-24,9.73,9.73,9.73,9.73,9.73,0
2021-05-25,9.73,9.73,9.73,9.73,9.73,0
2021-05-26,9.71,9.72,9.7,9.72,9.72,4400
2021-05-27,9.72,9.73,9.68,9.73,9.73,5100
2021-05-28,9.68,9.68,9.68,9.68,9.68,400
2021-06-01,9.68,9.68,9.68,9.68,9.68,0
2021-06-02,9.68,9.68,9.68,9.68,9.68,0
2021-06-03,9.65,9.7,9.65,9.7,9.7,4000
2021-06-04,9.7,9.7,9.7,9.7,9.7,0
2021-06-07,9.7,9.7,9.7,9.7,9.7,0
2021-06-08,9.7,9.7,9.7,9.7,9.7,0
2021-06-09,9.65,9.65,9.65,9.65,9.65,249300
2021-06-10,9.65,9.7,9.65,9.69,9.69,1400
2021-06-11,9.68,9.71,9.66,9.69,9.69,13700
2021-06-14,9.69,9.69,9.69,9.69,9.69,0
2021-06-15,9.67,9.69,9.65,9.66,9.66,19600
2021-06-16,9.67,9.7,9.65,9.69,9.69,560100
2021-06-17,9.68,9.68,9.65,9.65,9.65,2900
2021-06-18,9.65,9.65,9.64,9.65,9.65,481900
2021-06-21,9.65,9.65,9.63,9.65,9.65,48500
2021-06-22,9.65,9.67,9.65,9.67,9.67,6600
2021-06-23,9.67,9.68,9.64,9.67,9.67,280600
2021-06-24,9.65,9.67,9.65,9.65,9.65,499000
2021-06-25,9.65,9.65,9.65,9.65,9.65,1700
2021-06-28,9.65,9.65,9.61,9.64,9.64,338000
2021-06-29,9.649,9.65,9.626,9.64,9.64,26200
2021-06-30,9.65,9.655,9.64,9.65,9.65,7700
2021-07-01,9.65,9.66,9.65,9.65,9.65,3000
2021-07-02,9.65,9.66,9.62,9.66,9.66,86800
2021-07-06,9.64,9.65,9.64,9.645,9.645,6600
2021-07-07,9.63,9.65,9.63,9.65,9.65,8800
2021-07-08,9.63,9.63,9.62,9.62,9.62,502000
2021-07-09,9.64,9.65,9.62,9.62,9.62,33100
2021-07-12,9.64,9.65,9.63,9.63,9.63,115000
2021-07-13,9.63,9.65,9.63,9.65,9.65,6000
2021-07-14,9.65,9.65,9.65,9.65,9.65,0
2021-07-15,9.65,9.65,9.65,9.65,9.65,100
2021-07-16,9.63,9.65,9.63,9.65,9.65,8500
2021-07-19,9.63,9.64,9.63,9.64,9.64,3142
