Date,Open,High,Low,Close,AdjustedClose,Volume
2017-05-03,24.95,24.95,24.89,24.89,24.89,4400
2017-05-04,24.88,24.88,24.71,24.74,24.74,7403
2017-05-05,25.55,25.55,25.368,25.368,25.368,600
2017-05-08,25.45,25.45,25.3293,25.3293,25.3293,610
2017-05-09,24.99,24.99,24.99,24.99,24.99,327
2017-05-12,25.3899,25.3899,25.3899,25.3899,25.3899,250
2017-05-15,25.33,25.74,25.33,25.69,25.69,1350
2017-05-16,25.64,25.64,25.4,25.4,25.4,2235
2017-05-17,25.3,25.3,25.3,25.3,25.3,1510
2017-05-19,25.73,25.73,25.73,25.73,25.73,400
2017-05-22,26.17,26.17,26.17,26.17,26.17,4000
2017-05-23,26.68,27.1499,26.622,26.622,26.622,2893
2017-05-24,27,27.1,27,27.1,27.1,2467
2017-05-25,27.301,27.98,27.301,27.98,27.98,7431
2017-05-26,27.92,27.96,27.84,27.93,27.93,2964
2017-05-30,27.75,27.75,27.7446,27.7446,27.7446,1133
2017-06-01,28.4,28.86,28.4,28.86,28.86,3668
2017-06-02,29.39,29.39,29.1,29.22,29.22,5330
2017-06-05,28.9947,29,28.945,28.9693,28.9693,699
2017-06-07,29.36,29.36,28.81,29.09,29.09,2276
2017-06-08,28.179,28.179,28.179,28.179,28.179,1412
2017-06-09,27.9786,28.175,27.76,28.1507,28.1507,1450
2017-06-12,27.83,28.01,27.83,28.01,28.01,445
2017-06-14,29,29,29,29,29,893
2017-06-16,29.16,29.46,29.16,29.46,29.46,1800
2017-06-19,29.43,29.47,29.43,29.4599,29.4599,782
2017-06-20,29.21,29.35,29.21,29.31,29.31,2196
2017-06-21,29,29,29,29,29,1038
2017-06-22,28.4951,28.4951,28.4901,28.491,28.491,1130
2017-06-23,28.61,28.61,28.61,28.61,28.61,160
2017-06-26,28.75,28.75,28.736,28.736,28.736,254
2017-06-27,28.2483,28.2483,27.85,27.85,27.85,541
2017-06-28,27.65,27.65,27,27,27,570
2017-06-29,26.13,26.13,26.13,26.13,26.13,370
2017-06-30,26.6344,26.6344,26.6344,26.6344,26.6344,175
2017-07-05,25.3298,25.3298,25.3298,25.3298,25.3298,106
2017-07-06,25.32,25.342,25.2694,25.2694,25.2694,640
2017-07-07,25.4636,25.4636,25.27,25.39,25.39,550
2017-07-11,25,25,25,25,25,100
2017-07-14,25.9876,26.01,25.9876,25.9984,25.9984,1007
2017-07-18,26.32,26.32,26.32,26.32,26.32,1025
2017-07-20,27.44,27.48,27.44,27.48,27.48,362
2017-07-24,27.61,27.6101,27.2955,27.2955,27.2955,1261
2017-07-25,27.21,27.21,26.91,26.91,26.91,2022
2017-07-26,27.1204,27.1204,27.1204,27.1204,27.1204,283
2017-07-27,27.5893,27.5893,27.47,27.5001,27.5001,378
2017-07-28,27.54,27.54,27.54,27.54,27.54,282
2017-07-31,28,28,28,28,28,140
2017-08-03,28.7307,29.19,28.7094,29.1609,29.1609,6267
2017-08-04,28.544,28.544,28.544,28.544,28.544,1240
2017-08-07,28.9335,28.9335,28.9335,28.9335,28.9335,133
2017-08-08,29.25,29.25,29.25,29.25,29.25,212
2017-08-10,29.26,29.26,29.16,29.2599,29.2599,2289
2017-08-11,29.3,29.3,28.59,28.59,28.59,409
2017-08-15,29.58,29.58,29.58,29.58,29.58,3000
2017-08-16,29.6,30.36,29.6,29.89,29.89,1356
2017-08-18,29.57,29.57,29.5699,29.57,29.57,3832
2017-08-22,30.07,30.07,30.0054,30.0054,30.0054,402
2017-08-23,30.31,30.34,30.1253,30.34,30.34,1921
2017-08-24,30.56,30.56,30.54,30.54,30.54,1863
2017-08-28,31.14,31.14,30.81,30.81,30.81,1115
2017-08-29,31.1899,31.2,31.15,31.15,31.15,308
2017-08-30,30.75,30.75,30.7461,30.7461,30.7461,313
2017-08-31,30.5,30.5,30.5,30.5,30.5,621
2017-09-01,30.5643,30.5643,30.5643,30.5643,30.5643,500
2017-09-05,30.0142,30.46,30.0142,30.3377,30.3377,4862
2017-09-06,30.34,30.34,30.34,30.34,30.34,101
2017-09-07,30.13,30.13,30.12,30.12,30.12,676
2017-09-12,31.0874,31.0874,30.97,30.992,30.992,973
2017-09-13,29.87,29.8705,29.87,29.87,29.87,1060
2017-09-14,30.45,30.45,30.36,30.3747,30.3747,500
2017-09-15,30.39,30.63,30.39,30.63,30.63,2400
2017-09-18,29.93,29.9301,29.91,29.91,29.91,941
2017-09-19,29.61,29.6417,29.61,29.63,29.63,2400
2017-09-20,29.01,29.01,29.01,29.01,29.01,132
2017-09-21,28.94,28.94,28.94,28.94,28.94,715
2017-10-02,27.91,28.3195,27.76,28.3195,28.3195,3827
2017-10-04,28.1473,28.2266,28.1473,28.2266,28.2266,200
2017-10-06,28.16,28.475,28.1599,28.475,28.475,7432
2017-10-09,28.66,28.79,28.66,28.7073,28.7073,1505
2017-10-10,28.7,29.3,28.7,29.3,29.3,2747
2017-10-11,30.16,30.16,29.56,29.67,29.67,577
2017-10-13,30.23,30.23,29.5,29.5,29.5,1273
2017-10-16,29.165,29.165,28.82,28.82,28.82,319
2017-10-18,29.797,29.8,29.53,29.53,29.53,955
2017-10-19,30.3952,30.3952,30.3952,30.3952,30.3952,199
2017-10-20,30.45,30.45,30.45,30.45,30.45,930
2017-10-23,30.5299,30.5299,30.5299,30.5299,30.5299,236
2017-10-24,30.68,30.79,30.5884,30.7548,30.7548,1470
2017-10-25,30.2651,30.2651,29.505,30.011,30.011,2020
2017-10-26,31.07,31.07,30.8699,30.87,30.87,1064
2017-10-27,30.87,30.91,30.86,30.86,30.86,918
2017-10-30,30.65,31.12,30.65,31.03,31.03,12734
2017-10-31,31.0699,31.0699,31.0699,31.0699,31.0699,150
2017-11-01,30.71,30.8,30.68,30.68,30.68,698
2017-11-02,30.61,30.72,30.61,30.7192,30.7192,602
2017-11-03,31.49,31.52,31.47,31.52,31.52,1000
2017-11-06,31.1552,31.1552,31.1552,31.1552,31.1552,159
2017-11-07,30.92,31.39,30.92,31.39,31.39,6991
2017-11-08,32.12,32.12,32.06,32.06,32.06,417
2017-11-09,32.08,32.08,32.0149,32.0599,32.0599,989
2017-11-13,32.06,32.98,32.06,32.9404,32.9404,3635
2017-11-14,33.02,34.14,33.02,34.1136,34.1136,10825
2017-11-15,34.73,34.73,33.42,33.42,33.42,6125
2017-11-16,33.06,33.06,32.6685,32.9109,32.9109,12723
2017-11-17,32.31,32.448,32.23,32.448,32.448,7492
2017-11-20,30.971,31.72,30.971,31.72,31.72,838
2017-11-21,32.01,32.33,32.01,32.2392,32.2392,2278
2017-11-22,32.05,32.05,32.02,32.02,32.02,723
2017-11-27,32.29,33,32.29,33,33,4404
2017-11-28,33.07,33.32,32.98,32.98,32.98,2331
2017-11-29,33.13,33.3239,33.1,33.13,33.13,502
2017-11-30,33.42,33.6984,33.42,33.6341,33.6341,874
2017-12-01,33.5,33.5,32.94,32.94,32.94,4440
2017-12-04,33.3701,33.3701,33.1668,33.1668,33.1668,2334
2017-12-05,31.5999,31.6,31,31.42,31.42,1794
2017-12-06,31.67,31.84,31.67,31.72,31.72,1740
2017-12-07,31.32,31.58,31.315,31.58,31.58,870
2017-12-08,31.6,32.01,31.6,32.01,32.01,1031
2017-12-11,32.13,32.13,32.105,32.105,32.105,1039
2017-12-12,32.46,32.46,31.1799,31.19,31.19,7961
2017-12-13,31.54,31.66,31.34,31.35,31.35,844
2017-12-14,30.7699,31.3703,30.365,31.36,31.36,4632
2017-12-18,31.55,31.56,30.5,30.54,30.54,6585
2017-12-19,30.0599,30.06,28.8,28.8,28.8,9887
