Date,Open,High,Low,Close,AdjustedClose,Volume
2017-05-03,25.04,25.04,24.92,24.92,24.92,250
2017-05-04,25.0153,25.0153,25.0153,25.0153,25.0153,163
2017-05-05,25.231,25.231,25.231,25.231,25.231,460
2017-05-08,25.4,25.4,25.4,25.4,25.4,170
2017-05-09,25.3301,25.41,25.3301,25.41,25.41,425
2017-05-10,25.38,25.38,25,25,25,400
2017-05-11,25.18,25.18,25.18,25.18,25.18,162
2017-05-15,25.39,25.39,25.02,25.02,25.02,510
2017-05-17,23.7613,23.7613,23.7613,23.7613,23.7613,150
2017-05-18,23.5598,23.5598,23.5598,23.5598,23.5598,345
2017-05-19,24.58,24.7929,24.58,24.7929,24.7929,325
2017-05-24,25.38,25.38,25.3206,25.3206,25.3206,800
2017-05-25,25.5,25.66,25.5,25.66,25.66,985
2017-05-26,25.84,25.96,25.84,25.88,25.88,1563
2017-05-30,25.8513,25.8513,25.8513,25.8513,25.8513,150
2017-05-31,25.88,25.88,25.88,25.88,25.88,160
2017-06-02,26.77,26.8068,26.66,26.8068,26.8068,1718
2017-06-05,26.77,26.77,26.72,26.72,26.72,264
2017-06-07,25.919,25.919,25.919,25.919,25.919,220
2017-06-12,26.82,26.82,26.6978,26.6978,26.6978,400
2017-06-15,27.46,27.46,27.46,27.46,27.46,160
2017-06-20,27.46,27.46,27.3899,27.3899,27.3899,1628
2017-06-21,26.8102,26.8102,26.7701,26.7704,26.7704,1255
2017-06-22,26.8,26.8,26.64,26.64,26.64,610
2017-06-23,26.8603,26.8603,26.8603,26.8603,26.8603,400
2017-06-27,26.47,26.47,26.47,26.47,26.47,100
2017-06-28,27.1026,27.1026,27.1026,27.1026,27.1026,100
2017-06-29,26.47,26.47,26.47,26.47,26.47,377
2017-06-30,26.84,27.2,26.84,27.1965,27.1965,802
2017-07-03,27.5099,27.5099,27.5099,27.5099,27.5099,200
2017-07-05,27.43,27.43,27.43,27.43,27.43,803
2017-07-06,27.5,27.5,27.5,27.5,27.5,200
2017-07-07,27.2,27.25,26.78,27.05,27.05,1010
2017-07-10,27.28,27.86,27.28,27.86,27.86,680
2017-07-12,28.19,28.19,28.19,28.19,28.19,380
2017-07-13,28.1,28.11,28.1,28.11,28.11,6945
2017-07-17,28.3017,28.3017,28.3017,28.3017,28.3017,120
2017-07-20,28.3,28.3,28.3,28.3,28.3,945
2017-07-24,27.42,27.5023,27.42,27.5,27.5,1223
2017-07-25,28.19,28.19,28.19,28.19,28.19,566
2017-07-26,27.4,27.5462,27.4,27.5462,27.5462,543
2017-07-27,27.0099,27.0099,26.9,26.9,26.9,6159
2017-08-02,26.85,26.85,26.85,26.85,26.85,276
2017-08-03,27.1801,27.36,27.18,27.36,27.36,843
2017-08-09,27.392,27.392,27.392,27.392,27.392,484
2017-08-10,27.49,27.49,26.6353,26.6353,26.6353,930
2017-08-14,26.72,27.08,26.72,27.08,27.08,1316
2017-08-29,25.9495,26.33,25.9495,26.33,26.33,3225
2017-09-01,27.424,27.424,27.31,27.31,27.31,349
2017-09-07,26.29,26.29,26.29,26.29,26.29,152
2017-09-08,26.7501,26.7501,26.7501,26.7501,26.7501,200
2017-09-11,27.51,27.51,27.51,27.51,27.51,125
2017-09-12,27.678,27.678,27.678,27.678,27.678,221
2017-09-13,27.6951,27.6951,27.665,27.665,27.665,389
2017-09-14,27.8901,27.981,27.8901,27.981,27.981,278
2017-09-15,28.37,28.37,28.37,28.37,28.37,100
2017-09-18,28.836,28.836,28.82,28.82,28.82,320
2017-09-20,29.6287,29.6287,29.6287,29.6287,29.6287,570
2017-09-21,29.9699,29.9699,29.9699,29.9699,29.9699,581
2017-09-22,30.11,30.11,30.06,30.06,30.06,528
2017-09-26,30.29,30.29,30.2721,30.2721,30.2721,500
2017-09-27,30.52,30.52,30.2199,30.22,30.22,1200
2017-09-28,30.175,30.175,30.175,30.175,30.175,136
2017-09-29,30.369,30.369,30.26,30.26,30.26,270
2017-10-02,30.62,30.62,30.62,30.62,30.62,234
2017-10-03,31.3899,31.42,31.3861,31.3861,31.3861,1249
2017-10-04,31.34,31.52,31.34,31.52,31.52,734
2017-10-05,31.7127,31.73,31.65,31.65,31.65,870
2017-10-06,31.5962,31.5962,31.5962,31.5962,31.5962,543
2017-10-09,31.3506,31.3506,31.3506,31.3506,31.3506,100
2017-10-10,31.65,31.65,31.5489,31.5489,31.5489,367
2017-10-13,31.9737,31.9737,31.853,31.9324,31.9324,772
2017-10-16,31.71,31.7393,31.71,31.7393,31.7393,429
2017-10-19,31.58,31.58,31.5,31.5,31.5,1219
2017-10-20,32.0731,32.88,32.051,32.88,32.88,5715
2017-10-23,32.7799,32.78,32.4151,32.51,32.51,3991
2017-10-24,33.01,33.01,32.95,32.99,32.99,1754
2017-10-25,32.55,32.55,31.82,31.82,31.82,3491
2017-10-26,32.4,32.4,31.96,32.11,32.11,29308
2017-10-27,32.27,32.27,31.98,31.98,31.98,2088
2017-10-30,31.6926,31.76,31.42,31.42,31.42,935
2017-10-31,31.248,31.3603,31.0008,31.0008,31.0008,937
2017-11-01,31.2,31.2,30.81,30.81,30.81,32776
2017-11-03,31.3447,31.3447,31.34,31.34,31.34,306
2017-11-06,31.43,31.4829,31.4277,31.4829,31.4829,428
2017-11-07,31.4001,31.46,31.365,31.46,31.46,2826
