Date,Open,High,Low,Close,AdjustedClose,Volume
2021-01-13,10.5,10.5,10.31,10.435,10.435,10187300
2021-01-14,10.42,10.74,10.414,10.42,10.42,642900
2021-01-15,10.42,10.59,10.4,10.5,10.5,643600
2021-01-19,10.5,10.56,10.45,10.485,10.485,113100
2021-01-20,10.56,10.56,10.45,10.5,10.5,152100
2021-01-21,10.49,10.63,10.49,10.55,10.55,254200
2021-01-22,10.64,10.65,10.51,10.65,10.65,664800
2021-01-25,10.6,10.74,10.6,10.67,10.67,1048000
2021-01-26,10.65,10.7,10.63,10.69,10.69,463800
2021-01-27,10.62,10.67,10.3,10.6,10.6,1503400
2021-01-28,10.6,10.6,10.43,10.5,10.5,373800
2021-01-29,10.515,10.61,10.4,10.41,10.41,158400
2021-02-01,10.45,10.6,10.45,10.6,10.6,226800
2021-02-02,10.65,10.7,10.53,10.6,10.6,127700
2021-02-03,10.6,11.18,10.58,11.16,11.16,216400
2021-02-04,11,11.1,10.81,11.08,11.08,638800
2021-02-05,11,11.08,10.8,10.835,10.835,323100
2021-02-08,10.85,10.9,10.81,10.82,10.82,47787
2021-02-09,10.9,10.9,10.68,10.68,10.68,102664
2021-02-10,10.68,10.77,10.68,10.71,10.71,29822
2021-02-11,10.85,10.94,10.6,10.66,10.66,66700
2021-02-12,10.647,10.65,10.54,10.54,10.54,36000
2021-02-16,10.55,10.65,10.52,10.52,10.52,76600
2021-02-17,10.51,10.68,10.51,10.6,10.6,97200
2021-02-18,10.625,10.66,10.48,10.48,10.48,515800
2021-02-19,10.51,10.61,10.5,10.51,10.51,28900
2021-02-22,10.68,10.75,10.59,10.64,10.64,25800
2021-02-23,10.59,10.64,10.45,10.5,10.5,333100
2021-02-24,10.5,10.55,10.41,10.5,10.5,161300
2021-02-25,10.5,10.53,10.4,10.45,10.45,280000
2021-02-26,10.45,10.48,10.36,10.4,10.4,98800
2021-03-01,10.4,10.4,10.32,10.35,10.35,102200
2021-03-02,10.32,10.38,10,10.22,10.22,225700
2021-03-03,10.19,10.2,10.1,10.1,10.1,180000
2021-03-04,10.15,10.2,10.04,10.07,10.07,160500
2021-03-05,10.1,10.35,10.03,10.25,10.25,140500
2021-03-08,10.31,10.35,10.2,10.27,10.27,40800
2021-03-09,10.23,10.23,10.11,10.11,10.11,154400
2021-03-10,10.12,10.14,10.03,10.04,10.04,502100
2021-03-11,10.04,10.14,10,10.14,10.14,408300
2021-03-12,10.15,10.15,10.06,10.1,10.1,44300
2021-03-15,10.08,10.1,9.97,10.08,10.08,131200
2021-03-16,10.077,10.08,10,10.01,10.01,16900
2021-03-17,10,10.04,9.98,10.01,10.01,528000
2021-03-18,10.01,10.03,10.01,10.03,10.03,23400
2021-03-19,10.03,10.03,9.96,10,10,82600
2021-03-22,10.02,10.02,9.95,9.97,9.97,433200
2021-03-23,9.98,9.98,9.88,9.88,9.88,206200
2021-03-24,9.91,9.924,9.85,9.85,9.85,642500
2021-03-25,9.84,9.89,9.7,9.85,9.85,454300
2021-03-26,9.89,10.03,9.85,9.97,9.97,398600
2021-03-29,9.96,10,9.89,9.92,9.92,907300
2021-03-30,9.95,9.95,9.9,9.9,9.9,402400
2021-03-31,9.967,9.967,9.84,9.88,9.88,246600
2021-04-01,9.94,9.94,9.88,9.93,9.93,71200
2021-04-05,9.98,9.98,9.9,9.9,9.9,71900
2021-04-06,9.92,9.93,9.85,9.9,9.9,303100
2021-04-07,9.9,9.98,9.9,9.98,9.98,2115200
2021-04-08,9.95,10.03,9.95,10.03,10.03,61100
2021-04-09,10.03,10.05,10,10,10,55500
2021-04-12,10.07,10.07,10.03,10.04,10.04,2800
2021-04-13,10,10.05,10,10.05,10.05,7900
2021-04-14,10,10.08,10,10.08,10.08,275700
2021-04-15,10.039,10.1,10.02,10.07,10.07,43600
2021-04-16,10.02,10.09,10.02,10.05,10.05,69700
2021-04-19,10.01,10.09,10,10.06,10.06,45100
2021-04-20,10.04,10.04,9.98,10,10,8600
2021-04-21,9.98,10.04,9.97,10.04,10.04,38300
